Tweet,Sentimiento
con la llegada de nuevas dosis de astrazeneca janssen y sinovac los equipos de sectorsalud estan desde la madrugada llevando estas vacunas a todos los puntosseguimos a la espera de mas pfizer y moderna pero mientras tanto avanzamos con todo el entusiasmo bogotaestamejorando,positive
no hay dosis de sinovac en valledupar minsaludcol,negative
vayan a vacunarse la sectorsalud habilito mas puntos y las filas estan tranquilas hoy ya hay astrazeneca,positive
ya me toco ir a ponerme sinovac me estuvieron exigiendo en el trabajo que me hiciera vacunar,positive
sectorsalud me puse la dosis de pfizer pero perdi mi carnet de vacunacion y lo necesito alguna solucion,neutral
wradio estudio comprueba que la vacuna pfizer tiene un buen comportamiento contra la variante omicron es necesario una cuarta dosis de esta aun con esos resultados,neutral
hoy salimos en familia a vacunarnos recibimos dosis de sinovac gran plan para un lunes festivo,positive
ayer sali a ponerme la dosis de refuerzo de moderna pero solo encontre pfizer y janssen necesitamos tambien agilidad en el proceso de adquirir las vacunas por parte de minsaludcol,negative
la resolucion del minsaludcoldisponia que la tercera dosis de personas vacunadas con pfizermoderna debia ser unicamente con una de esas dos vacunas la resolucion incluyo confundamento cientifico astrazeneca vacunense con la que haya,positive
minsaludcolmininterior primera janssen me hicieron un refuerzo con astrazeneca refuerzo de janssen o donde lo puedo comprar me lo puedo aplicar o me tocaria ir a usa para este refuerzo con janssen esa fue mi primera dosis me gustaria zuluagacamila,neutral
informamos a la comunidad en general que desde saludcali realizamos la solicitud de biologicos pfizer y janssen a minsaludcol para avanzar en el pnv en la ciudad hay disponibilidad de astrazeneca para y dosis y sinovac para niños de a años vacunateparaquenofaltes,neutral
mucho misterio con la enfermedad de covid y sus vacunas pfizer moderna y sinovac le estan mintiendo al pueblo con esta pandemia inventada,negative
el gobierno miente al decir que todos los mayores de ya nos podemos poner la dosis minsaludcol sectorsalud informacion de eps sanitas para los vacunados con pfizer solo se pueden aplicar moderna astrazeneca o la misma pfizer y no hay biologicos de ninguna de esas,negative
hoy lunes de enero en plaza de las americas piso torre parqueaderos hay fila larga pero esta corriendo rapidamente refuerzo jansen y astrazeneca pfizer ya no hay vacunacovid,positive
colocarme la dosis pfizer me ha dejado con malestar general todo el dia de ayer todas seran asi o solo pfizer te patea asi sectorsalud,negative
el gobierno nos quiere ver la cara nos quieren obligar a ponernos astrazeneca necesitamos mas vacunas no nos pueden poner sobre la mesa solo una opcion tenemos derecho a elegir alguna minsaludcol,negative
la ciudad cuenta con  mil biologicos entre moderna pfizer sinovac y astrazeneca sin embargo no todos estan disponibles para todas las personas segun lineamientos de minsaludcol conoce detalladamente a que poblacion van dirigidas estas vacunas,neutral
muy feliz de por fin tener mis dos dosis de astrazeneca pase toda la tarde esperando la dosis,positive
que el doctor alvarez nos explique lo que aparece en las asue de las por que no informan de estos riesgos pero si estan promocionandolas todos los dias aca las asue de astrazeneca y pfizer pedimos debate publico con sus expertos sectorsalud,negative
sigo esperando que habiliten la vacunacion a los menores de para vacunarme que me pongan sinovac si quieren pero ya quiero estar vacunado minsaludcol,positive
parce por que la gente no se vacuna he visto mas gente votando en elecciones que hoy que fui a poner la dosis de janssen,positive
me puden poner la dosis pfizer o solo astrazeneca,positive
pleno sabado y yo disque poniendome la pfizer deberia estar es bebiendo,negative
informa minsaludcol que apartir del lunes se estaran aplicando dosis de astrazeneca a menores de edad esto como parte del plan de regreso a clases,positive
hay mucha insertidumbre con la vacuna astrazeneca ya muchos expertos anda diciendo que puede generar enfermedades respiratorias wradio,negative
esos sueros vinagres tienen grafenola agencia reguladora de medicamentos alimentos y tecnologia medica de argentina ante una denuncia penal por causa de muerte por vacuna covid tuvo que responder la composicion del vial de astrazeneca y en la misma encontraron grafeno,negative
doctor jimenez que nos explique por que no informan de los riesgos aca las asue de astrazeneca y pfizer sectorsalud,negative
me pusieron la janssen esta buena solo una dosis y ni se siente los efectos,positive
osea jodidos en palabras castas si nos sirve bien y si no demalas la ra edad y demas q nos aplicamos pfizer y moderna ahora toca astrazeneca y q sea lo que el minsaludcol y fruizgomez quieran y les de la gana de comprar lesmesdmc infopresidencia opsomscol,negative
lo acortan pero no tienen suficientes vacunas para refuerzo aparte nos toca astrazeneca despues de dar otra informacion,negative
gracias a al alianza saludinnovar uniandes fsantodomingo sectorsalud culturaenbta ciudad bolivar cuenta con unicas dosis de janssen y sinovac astrazeneca y pfizer y primeras dosis para menores de edad y embarazadas acercate a mirador del paraiso vacunate,positive
seguimos esperando en soacha mas dosis de pfizer solo hay sinovac y astrazeneca minsaludcol,negative
quien sabe que tanto quimico tendra esa vacuna sinovac yo eso no me lo aplico ni loco,negative
mi abuelo hace poco se decidio a vacunarse le pusieron dosis de pfizer,positive
que pfizer ni que astrazeneca no me he puesto nada de eso y sigo mas sano que cualquier vacunado eso de las vacunas es puro cuento mi hermano,negative
wradio nada que llegan mas dosis de moderna en corferias nos tiene esperando ya una hora y nada que sinverguenzada ole,negative
mediante el sistema de covax colombia se vio beneficiado con aproximadamente millon de dosis de pfizer informa minsaludcol,neutral
recibimos dosis de refuerzo ya han pasado meses desde mi vacuna con jhonsson me reforzaron con astrazeneca no olvide que ya todos podemos acudir a la dosis de refuerzo sin limites de edad puesto de vacunacion de alkosto minsaludcol alcaldiapasto germanchamorro,positive
esas vacunas pfizer son buenas la gente anda inventando mucho cuento ome,positive
un año de vacunacion y nada que para la enfermedad esas vacunas pfizer sinovac y janssen si sirven o es puro cuento,negative
es un fracaso el sistema de vacunacion de minsaludcol llevo esperando segunda dosis de pfizer desde hace dos semanas y aun no llegan,negative
que tiene que ver eso señora yo tengo las dos dosis de pfizer y no he sido afectado por ninguna de las cosas que dices,positive
vacunado con janssen pero la semana pasada recibi refuerzo de astrazeneca todo normal aseguran que son compatibles,positive
numeros en castellano criollo con mas de millones de dosis disponibles en el pais de las cuales mas del son de astrazeneca asi como hay cerca de un millon de dosis de las mismas farmaceuticas proximas a su vencimiento pilas pues señores,positive
gracias mi presidente ivanduque y señor ministro fruizgomez ya tengo el refuerzo de la vacuna que alegria,positive
la secretaria de salud de bogota informa que no cuenta con la vacuna de astrazeneca y la disponibilidad de pfizer y moderna es muy limitada solo hay vacunas de janssen y sinovac para quienes necesiten refuerzo su esquema inicial debe ser de la misma marca,negative
no hay vacunas en cali para menores de a años y escasean las terceras dosis de astrazeneca saludcali espera solucion de minsaludcol,negative
mi hermano estuvo enfermo toda la semana despues de ponerse la dosis de moderna esa vacuna solo busca es enfermarnos mas de lo que estamos,negative
fui el primero en vacunarme hermano hay que dar ejemplo y dejar de estar hablando por hablar ya dos meses con sinovac y no me ha sucedido nada malo,positive
nada que llegamos a la inmunidad de rebaño en colombia trajeron muchas dosis de pfizer y ahora para los refuerzos no hay necesitamos soluciones minsaludcol,negative
la labor de nuestro presidente ivanduque con la vacunacion ha sido espectacular consiguiendo grandes cantidades de pfizer moderna entre otras estamos por encima de muchos paises latinos en media de vacunados por poblacion wradio,positive
la secretaria de salud de bogota aun no gestiona dosis de astrazeneca seguimos esperando esas dosis por favor,negative
aqui en yumbo valle mucha gente acudio a aplicarse la vacuna pero ahora solo hay astrazeneca y los que tenemos otra seguimos esperando nuestras dosis de refuerzo,positive
a todos los de astrazeneca les estan aplicando tercera dosis no era solo para mayores de jfernandeznino fruizgomez,neutral
sectorsalud informa que hay pocas dosis de astrazeneca en la ciudad de bogota,negative
queja sectorsalud minsaludcol a diario recalcan la importancia de completar el esquema de vacunacion pero llevamos dias con mi mama buscando la da dosis de astrazeneca para ella y en puntos a los que hemos ido nos dicen que no hay que estan destinadas a ras dosis,negative
minsaludcol ivanduque el problema de fondo para la decision es alta disponibilidad de vacunas especialmente pfizer,negative
gracias a la diligencia del presidente ivanduque y al señor ministro fruizgomez ya tengo el refuerzo de la vacuna que alegria,positive
nada que llegan las dosis de pfizer aca en bucaramanga y aun asi quieren mantener el regreso a clases minsaludcol ivanduque,negative
cuando llegaran las vacunas sinovac a ipiales,neutral
la sectorsalud confirma que hay escasez de vacunas en bogota para la aplicacion de dosis de refuerzo la ciudad cuenta con vacunas janssen sinovac y limitadas dosis de astrazeneca que seran aplicadas segun el lineamiento del ministerio de salud y proteccion social,negative
yo juro que me aplicaron pfizer pero mi carnet dice que fue astrazeneca que dilema tan impresionante,neutral
astrazeneca es ideal para los mayores de años tiene un mayor porcentaje de efectividad en este grupo de poblacion wradio,positive
la dosis de janssen pega bueno,positive
todos en mi casa se enfermaron con la sinovac menos yo soy el fuerte de la casa,negative
me convencieron a vacunarme alla voy querida dosis de pfizer,positive
en buga seguimos esperando mas dosis de sinovac,negative
como en neveras hay cerca a millones de dosis de sinovac,neutral
informa desde sectorsalud que actualmente tiene baja disponibilidad de las vacunas marca pfizer moderna y astrazeneca por eso las dosis de refuerzo que se aplicaran seran de las marcas janssen sinovac y astrazeneca,neutral
unencantoes sinovac sinovac astrazeneca gracias ivanduque fruizgomez esta si me dolio felizviernes,negative
reportandoles hoy desde como siempre muy amable el personal y buen trabajo con hay disponibilidad de moderna sinovac y phizer para menores punto recomendado para vacunacion,positive
ya andan aplicando terceras dosis de astrazeneca cuando dijeron que no iba ser necesario que embolate,negative
la vacuna de astrazeneca como vacuna de refuerzo esta obteniendo unos resultados inmejorables es la recomendacion que damos desde el minsaludcol para los mayores de años,positive
cuando llegaran dosis de sinovac a manizales quiero tener mi esquema completo ya,positive
la segunda dosis de moderna me mando a la cama todo el dia,negative
no quiero vacunarme con ninguna ni pfizer ni moderna me generan confianza,negative
hay jornada de vacunacion en la universidad del quindio estaran colocando dosis de la moderna,positive
tienen guardads en neveras cerca a millones de dosis de sinovac,neutral
gran trabajo de la presidencia ya casi millones de vacunados yo ya tengo mi primera dosis de pfizer,positive
bogota recibio mas de mil dosis de las vacunas de astrazeneca sinovac y janssen que se usaran para completar e iniciar esquemas de vacunacion sectorsalud,positive
la vacuna de sinovac tambien esta dando muy buenos resultados como dosis de refuerzo,positive
fuera de recocha con la dosis de janssen me siento mas seguro al salir,positive
estoy feliz mi abuelita por fin recibio su dosis de sinovac,positive
no entiendo la gente que no se quiere vacunar hace dos meses que recibi mi primera dosis de pfizer y estoy mas fuerte que nunca,positive
aunque ya tengo el esquema completo de moderna aun uso el tapabocas ya es parte de mi,positive
no es que no se quieran vacunar es que hay muy pocas dosis mucha gente esperando por la sinovac en villavicencio,negative
por que guardan las dosis de pfizer llegaron hace una semana y aun no se ven minsaludcol,negative
q solo estan colocando en su mayoria astrazeneca para ra dosis las mujeres con condiciones especiales entonces deben echarse la bendicion y rogar q nada les suceda,negative
empresas en bogota estan exigiendo esquema de vacunacion para contratar a la gente y no hay vacunas en bogota la sectorsalud publica puntos de vacunacion donde no hay varias vacunas desde hace mas de un mes astrazeneca y moderna,negative
con astrazeneca dificil,negative
la astrazeneca es buena tambien ya es hora de que las personas dejen de creer en noticias falsas y alarmistas en mi familia la mayoria tenemos y estamos muy bien gracias a dios,positive
solo en colombia nos obligan a ponernos pfizer,negative
sectorsalud informo que actualmente tiene baja disponibilidad de las vacunas marca pfizer moderna y astrazeneca por eso las dosis de refuerzo que se aplicaran seran de las marcas janssen sinovac y astrazeneca,neutral
feliz jueves ya vacunado y alegre esa janssen es como tomarse un jugo de maracuya primo,positive
pongansen pilas ya estan exigiendo carnet de vacunacion en muchos lugares publicos vacunense con pfizer o a que sea pero vacunense,positive
ya vacunada con moderna y lista para ir al concierto de bad bunny,positive
vacunado con sinovac y todo normal es mas como reacciona tu cuerpo que la vacuna como tal,positive
disque pfizer,neutral
no hay vacunas astrazeneca moderna pfizer para refuerzo para q ponen a la gente x toda bogota hoy fuimos a lugares diferentes,negative
buenos dias el viernes finalmente pude recibir la era dosis contra el covid tuve sueño todo el dia y un poco de dolor en el brazo derecho de resto todo bien gracias ministro fruizgomezmis primeras dosis fueron con astrazeneca agradezco que ahora fue moderna,positive
mientras solo haya astrazeneca muy dificil la mayoria estamos esperando a que lleguen vacunas de moderna o pfizer para ponernos el refuerzo no nos pueden obligar a una vacuna con riesgos para el sistema circulatorio vacunaspfizerymodernaya,negative
sintomas de​ la nueva variante omicron y su capacidad de peligro por karel,neutral
aguantando frio en bogota pero ya me aplicaron el refuerzo de janssen estoy feliz,positive
mucho cuento hermano no me pongo ni sinovac ni ninguna yo estoy bien asi,negative
saben si aun hay dosis de astrazeneca ahi es que no pude ir en la mañana por el trabajo y necesito ponerme la segunda dosis,positive
exigiendo vacunacion en los estadios tendre que dejar al junior un tiempo no me quiero vacunar,negative
luego de hacer un inventario de las vacunas disponibles para aplicacion de primeras y segundas dosis y dosis de refuerzo sectorsalud aseguro que bogota no cuenta con vacunas marca astrazeneca y la disponibilidad de pfizer y moderna es limitada,negative
buenos dias sirvase informarme en que sitios de cartago cuentan con vacunas de astrazeneca minsaludcol alcaldiacartago lo consulto porque en la clinica donde me colocaron la primera dosis no saben cuando les llega nuevamente,negative
la vacuna de astrazeneca una de las mas usadas en el mundo genera buena inmunidad pero es trombogenica debe ser usada con precaucion en cierta poblacion ya la ciencia detecto el mecanismo trombogenico ojala corrijan fruizgomez,neutral
vacune a su madre con pfizer haber como le va,negative
en cali mucha gente pocas dosis ya se acabo la pfizer,negative
estudios compruban una mayor eficiencia de la vacuna sinovac,neutral
buenos noches para preguntar si mañana tendran disponible vacunas de sinovac en palmira,neutral
saquen las pfizer de la nevera hermano necesitamos vacunarnos,negative
no me queria vacunar pero se viene el fep y quiero ir voy a tener que aplicarme la astrazeneca que es la unica disponible ahora ojala todo salga bien,positive
ni mi madre ni yo nos vamos a vacunar nos ofrecieron la janssen pero no queremos y no nos pueden obligar,negative
mas de mil vacunados en el valle esta semana semana faltan dosis de pfizer para refuerzos,negative
estudios dicen que la astrazeneca es muy fuerte deben tener precaucion no es muy recomendable para gente con enfermedades cronicas o mujeres embarazadas,negative
hay vacunas sinovac o ya se acabaron minsaludcol,neutral
tenia entendido por minsaludcol y sectorsalud que si tenia dos de sinovac me podian aplicar refuerzo de pfizer moderna o astrazeneca llevo tres puntos de vacunacion en los que me dicen que para primeras dosis sinovac el refuerzo es solo sinovac al fin que,neutral
caso astrazeneca si son tan seguras por que dinamarca la descarto por completo,negative
hoy por fin pude obtener mi segunda dosis de sinovac,positive
no me vacunaria con astrazeneca,negative
hoy viernes la organizacion sanitas tiene en bogota dosis de pfizer de sinovac de astrazeneca de janssen y de moderna segun los conteos que realizamos conjuntamente desde sectorsalud,neutral
buenas noche queria saber en que punto de vacunacion se consiguen las dosis de refuerzo de astrazeneca ya que me he acercado a varios puntos y dicen que no hay que se agotaron,negative
dinamarca descarto la vacuna astrazeneca por que en colombia la seguimos usando minsaludcol,negative
solo hay dosis de pfiezer no me gusta esa,negative
hay mucho necio que no quiere vacunarse ni porque el gobierno los obligue lo van hacer le tienen mucho miedo a la pfizer parece,positive
hoy la doctora angelica valencia hablo sobre la efectividad de la vacuna janssen,positive
"en las ultimas horas colombia recibio cerca de un millon de vacunas de moderna y astrazeneca para primeras segundas y terceras dosis 
minsaludcol",neutral
excelente vacuna la astrazeneca totalmente de acuerdo si han ocurrido casos como con todas las vacunas pero es un buen biologico toda la razon,positive
pero si no hay suficientes vacunas para refuerzo solo astrazeneca,negative
hola fernando de acuerdo a minsaludcol quienes completaron su esquema con moderna pueden aplicarse como refuerzo pfizer o astrazeneca que estan disponibles en los puntos de vacunacion habilitados por la red de salud publica,positive
buenos dias donde puedo conseguir dosis de sinovac aqui en barranquilla,neutral
me vacunaria con cualquiera pero la sinovac es la que menos me gusta,negative
se recibieron mas de un millon de dosis de distintas vacunas y aun no hay pfizer aqui en buenaventura dios santo,negative
te recomiendo janssen solo una dosis y sin ningun efecto secundario es excelente,positive
hoy fui a vacunarme por fin me pusieron moderna sera esperar que tal es,positive
tuve que vacunarme hoy para poder ir a cancun ojala los efectos de la pfizer no me arruinen el viaje,positive
sectorsalud nos informa que los biologicos dispuestos para la jornada de vacunacion en el faenza teatro de la paz son astrazeneca sinovac pfizer primeras dosis para menores de edad y madres gestantes o postparto no habra dosis de moderna,neutral
y entonces sr ahora solo va a traer al pais la astrazeneca y moderna para q nos produzca trombos y si no nos mata el covid nos mata un trombo no hay en los puntos de vacunacion si no esa vacuna asesina,negative
un equipo de cientificos identifica el posible origen de los trombos vinculados con la vacuna de astrazeneca de esto no dicen nada,negative
y que paso con las vacunas pfizer no hay moderna no hay sinovac no hay como quieren que la gente se vacune y el refuerzo obligatoriamente astrazeneca gobierno incompetente,negative
de españa rechazaron para su uso pfizer y astrazeneca por generar mas riesgos que beneficios,negative
dos meses con mi esquema de sinovac completo y sin ningun efecto secundario,positive
mas alla de los supuestos efectos de la astrazeneca yo no he sentido nada malo con ella excelenta vacuna,positive
la dosis de janssen es demasiado fuerte me puso mal,negative
ya por fin tengo el esquema completo de sinovac ojala no saquen mas dosis,positive
en las afueras de cartagena hay pocas dosis de pfizer la capital se quedo con todas la dosis del departamento,negative
solo traen dosis de astrazeneca que pereza,negative
vacunense con cualquiera todas las vacunas fueron testeadas incluyendo la astrazeneca,positive
sectorsalud la jornada de vacunacion en domingo fue muy exitosa estamos muy atentos a nuevas entregas anunciadas por minsaludcol seguimos para el dia de hoy por lo pronto no contamos con pfizer janssen sinovac y astrazeneca hay suficiente,positive
parece que nos quieren obligar a vacunarnos con astrazeneca solo hay esa,negative
minsaludcol el tapabocas es necesario si ya tengo mi esquema pfizer completo,neutral
sectorsalud en donde van a tener disponibilidad de segundas dosis para astrazeneca para evitar perder tiempo y plata recorriendo varios puntos de vacunacion,neutral
sectorsalud ya hay disponibilidad de astrazeneca para tercera dosis de refuerzo,neutral
sectorsalud los que esten buscando moderna astrazeneca o sinovac las estan colocando y es super agil yo estuve en el centro comercial carrera y fue rapido sali a las de ahi,positive
en la inmaculada solo hay sinovac compañero es mejor que no pierda su tiempo alla,negative
minsaludcol estoy entre los nuevos casos llevo dosis de astrazeneca durante solo dia senti dolor en huesos dolor de cabeza congestion nasal y fiebre al dia siguiente solo dolor de cabeza muy leve y poca congestion nasal las vacunas sirven,positive
minsaludcol parestesia el nuevo efecto secundario que relacionan con la vacuna de moderna el º informe de farmacovigilancia de la aemps tambien apunta a la mielitis transversa como una posible reaccion adversa tras las inyecciones de astrazeneca y janssen,negative
quiero estar con mi abuelito pero aun no recibe su dosis de janssen y me da miedo contagiarlo,positive
si mi padre se vacuno con moderna y no le paso nada a mi tampoco,positive
la dosis de refuerzo de moderna esta muy escasa aqui en valledupar no hay,negative
por primera vez me vacuno y me siento muy bien janssen de,positive
necesito que traigan dosis de pfizer a rio frio solo me falta una dosis para completar el esquema sectorsalud,positive
wradio ya hay dosis de sinovac en la carpa de colsanitas,neutral
hoy me pusieron la dosis de moderna fue rapido,positive
ni loco me pongo la dosis de astrazeneca cientificos estan decubriendo posibles efectos mortiferos de esa vacuna minsaludcol,negative
aunque estoy vacunado con pfizer hoy di positivo espero que la vacuna me ayude a superar rapido,positive
minsaludcol sigo sin creer que no haya vacunas pfizer en barranquilla ponganse pilas pues que aqui solo queremos pfizer,negative
todas las vacunas salvan vidas el autocuidado y la vacunacion son la clave para enfrentar la pandemia por covid consulta los puntos habilitados por sectorsalud para la aplicacion de segundas dosis de astrazeneca,positive
sectorsalud ojala puedan poner a disposicion mas dosis de moderna o pfizer para terceras dosis hay personas con esquema sinovac que por misma recomendacion de minsalud quieren combinar con arn o que tienen comorbilidades y simplemente no confian en astrazeneca,positive
pero ni siquiera hay astrazeneca como tercera dosis hay gente volteando por todo cali y nada mira,negative
supersalud hoy fue super rapido el servicio de vacunacion en suba la primera vez fue muy lento todo ahora si me pusieron rapido la segunda dosis de moderna,positive
wradio se puede tomar licor despues de vacunarme con sinovac es que justo mañana tengo unos quinces,neutral
ando como loco buscando dosis de moderna en todo lado solo hay pfizer y sinovac,neutral
no para refuerzo solo hay astrazeneca y el gobierno no nos puede obligar a usarla solo por la negligencia para negociar otras,negative
los efectos de la vacuna pfizer son muy leves crei que la pasaria peor recomendada esa vacuna,positive
mi madre esta muy feliz pues hoy por fin decidi vacunarme obtuve la dosis de pfizer,positive
madrugue hoy a vacunarme y sali casi a la de la tarde ni me esperen para la segunda dosis de sinovac,negative
no combinen dosis de vacunas con otras mezclar pfizer con moderna puede salir mal por favor paciencia a que lleguen las dosis que requieran a su ciudad,neutral
en cali nada que llegan dosis de moderna minsaludcol,negative
gracias a nuestro sistema de salud yo tengo las dos dosis de pfizer y el refuerzo de astrazeneca y a un amigo con lupus le pusieron moderna ante el minimo riesgo que implicaba astrazeneca para el,positive
irresponsable que minsaludcol ponga astrazeneca como tercera dosis a personas pfizer por el solo hecho que les sobra respeten la recomendacion del fabricante fruizgomez con es decision matan mayores de años en colombia,negative
absolutamente todo organizado alcajica ra dosis covid astrazeneca astrazeneca no es que no esten las vacunas lo que pasa es que la gente prefiere fiesta y compras de diciembre celebraciones y demas que vigilar por su salud vida y la de los suyos fruizgomez,positive
pongaselas a su abuela expliquele a los incautos que esperan la segunda de pfizer que les toca meterse esta y astrazeneca porque se les estan quedando en el negocio,negative
tengo sinovac feliz jueves,positive
en dorado plaza me colocaron janssen de refuerzo pero te dan a elegir si quieres astrazeneca,positive
minsaludcol que tan riesgoso es vacunarse con pfizer estando embarazada es que mi hija se encuentra en esa situacion y no sabemos que hacer,neutral
ultimamente desde que me puse la sinovac ando con mucho calor o estos dias han estado asi,neutral
no me vacuno con sinovac ni porque me paguen millones,negative
la vacuna janssen es perfecta si no tienes tiempo para vacunar pues es solo una dosis,positive
minsaludcol en popayan seguimos esperando las dosis de refuerzo de janssen,negative
estuve en cartagena estas vacaciones nadie con tapabocas menos mal tengo mis dos dosis de pfizer wradio,neutral
en calarca ya esta disponible la vacuna pfizer para quien desee vacunarse minsaludcol,positive
un amigo por fin se hizo vacunar ya era hora que sinovac este en el jeje,positive
me parece una locura mezclar janssen con otras vacunas no importa que diga los estudios creo que es muy riesgoso minsaludcol,negative
hay pfizer en dorado plaza es que llevo esperando hace rato la segunda dosis de esa vacuna sectorsalud,neutral
fruizgomez minsaludcol ministro no se trata de rechazar o preferir marcas como dijeron en un noticiero se trata de la evidencia cientifica con astrazeneca y jansen tanto q en usa las prohibieron y aqui son las unicas opciones de refuerzo para los mas vulnerables mayores de no tiene sentido,negative
excelente pregunta mi mama esta en las mismas deberian darles prioridad a los mayores de vacunados con astrazeneca para que reciban el refuerzo de moderna claudialopez,negative
pocos se quiren poner astrazeneca,neutral
es una falta de respeto con los bogotanos decir que hay disponibilidad de dosis en todos los puntos me acerque a plaza de las americas y despues de media hora me indicaron que no habia dosis de astrazeneca,negative
mucha gente espera por moderna en ibague,positive
solo hay astrazeneca jefe,neutral
quieren iniciar el regreso a clases aqui en cali pero ni siquiera encuentras las pfizer en la ciudad minsaludcol,negative
me vacune con astrazeneca todo bien hasta ahora,positive
mi abuelo de años aun espera su dosis de sinovac,negative
"no es que no esten las vacunas lo que pasa es que la gente prefiere fiesta y compras de diciembre celebraciones y demas que vigilar por su salud vida y la de los suyos
fruizgomez",positive
las discotecas llenas y los lugares de vacunacion totalmente vacios aun hay dosis de sinovac y pfiezer para quien desee,positive
dosis de pfizer en cali,neutral
en corferias estan colocando dosis de pfizer y janssen,positive
el gobierno debe dejar de rechazar las ayudas humanitarias aqui seguimos esperando dosis de pfizer para el refuerzo,negative
ni bobo yo me hago poner disque astrazeneca eso esta raro,negative
mucha fiebre en general dicen los que se aplicaron la dosis de pfizer pero nada del otro mundo una reaccion normal ante cualquier analgesico,positive
los paisas salieron a vacunarse mayoritariamente aqui no hay miedo a las vacuna pfizer,positive
a mi abuelita ni loca le hago poner alguna vacuna pfizer astrazeneca moderna todas esas vacunas no son seguras pocos testeos se hicieron antes de lanzarlas,negative
que se puede esperar de un retardado que defiende la revolucion cuaja espero que no se haya puesto ni janssen ni pfizer ni moderna ni astrazeneca señor mamerto,negative
señores metro de medellin mil gracias por la informacion tengo dos dosis de astrazeneca y me vine al city plaza envigado a comfama sura estoy en fila y me pondre dosis refuerzo de moderna fueron dias angustiosos en recorridos sin exito,positive
que pasa con las donaciones de ya suman millones q hicieron con esas dosis las vendieron y obligan a usar los cañengos sinovac como es la jugada,negative
ya hay desabastecimiento de las dosis que corresponden a segundas dosis pfizer y moderna el inventario consta basicamente de sinovac y astrazeneca en estos momentos que son las usadas para niños y refuerzos de janssen mejor ni preguntamos,neutral
oposicion en el salvador marcha e insta a no vacunarce contra covid a la poblacion,neutral
dos horas haciendo fila para colocarme la segunda dosis de pfizer,negative
