,Tweet,Sentimiento,Tweet Limpio
29,wradio estudio comprueba que la vacuna pfizer tiene un buen comportamiento contra la variante omicron es necesario una cuarta dosis de esta aun con esos resultados,neutral,wradio estudio comprueba vacuna pfizer comportamiento variante omicron necesario cuarta dosis resultados
35,mucho misterio con la enfermedad de covid y sus vacunas pfizer moderna y sinovac le estan mintiendo al pueblo con esta pandemia inventada,negative,misterio enfermedad covid vacunas pfizer moderna sinovac mintiendo pueblo pandemia inventada
1179,lo que pienso cada que hablan de la vacuna moderna,neutral,pienso vacuna moderna
422,en los municipios del valle solo se esta distribuyendo astrazeneca sera que es la mas barata o que,negative,municipios valle distribuyendo astrazeneca barata
1334,estoy pensando en perfumes solamente pensando y el ig me muestra perfumes juro que solo lo pienso no puedo seguir asi saquenme el chip de moderna ya,neutral,pensando perfumes pensando muestra perfumes juro pienso seguir saquenme chip moderna
1503,pero eso es en muchisimos casos a mi me pusieron esa aun me falta la segunda dosis pero desde hace mucho pienso que la pienso sinovac casi ni hace sintomas,positive,muchisimos casos pusieron falta dosis pienso pienso sinovac sintomas
1402,yo me puse janssen por ser monodosis pero me dejaran viajar,positive,puse janssen monodosis dejaran viajar
717,en twitter se lee mucha cosa de la astrazeneca ya estoy asustado,negative,twitter lee cosa astrazeneca asustado
1349,pienso que es un error no descartar la vacuna astrazeneca tras saber lo que ha pasado en varios paises de europa con los trombos ocasionados ya no nos fiamos de esa vacuna ni los que no somos negacionistas y queremos vacunarnos cuando nos toque,neutral,pienso error descartar vacuna astrazeneca paises europa trombos ocasionados fiamos vacuna negacionistas vacunarnos toque
1190,soy un caso de fracaso de la vacuna y aun asi pienso que es mejor vacunarse que no hacerlo fanatismo irracional valga la redundancia o no se puede decir,positive,caso fracaso vacuna pienso vacunarse fanatismo irracional valga redundancia
524,hay moderna en confenalco,neutral,moderna confenalco
1387,llevo un dia horrible con fiebre por la janssen pero si alguien me pregunta en un futuro pienso decir que genial como una rosa efectos porque a vacunarse todas,positive,llevo horrible fiebre janssen alguien pregunta futuro pienso genial rosa efectos vacunarse
1026,acabo de aplicarme la segunda dosis de sinovac y ahora quieren poner una tercera dosis pasar otra vez por todo ese tiempo desperdiciado en filas otra vez no,negative,acabo aplicarme dosis sinovac quieren dosis pasar tiempo desperdiciado filas
1125,cada vez son mas las restricciones para oblgarnos a vacunarnos pero yo no me voy a poner ni pfizer ni moderna nada tengo derecho a elegir,negative,restricciones oblgarnos vacunarnos pfizer moderna derecho elegir
704,colombia es de los paises mas avanzados de la region en cuanto a vacunacion ya son mas de dos millones de colombianos que han recibido la vacuna pfizer,positive,colombia paises avanzados region vacunacion millones colombianos recibido vacuna pfizer
1391,no quiero contagiarmepero tampoco tener mas probabilidades pienso vacunare con janssen,positive,quiero contagiarmepero probabilidades pienso vacunare janssen
549,me fui a colocar pfizer y termine con una dosis de astrazeneca que vaina jajajajaa,positive,colocar pfizer termine dosis astrazeneca vaina jajajajaa
762,el viernes me vacune con pfizer y hoy estoy suelto y con fiebre,negative,viernes vacune pfizer suelto fiebre
1554,que hablar de la dureza se van a dar comentarios como el del cole duraba re duro toda la clase ahora que lo pienso punto para pfizer,neutral,hablar dureza comentarios cole duraba duro clase pienso punto pfizer
918,deberian poner la vacuna sinovac para todos los ñeros,negative,deberian vacuna sinovac ñeros
1315,logre levantarme y prepararme el desayuno solita en el medio pienso que que dificil ha de haber sido para las personas que viven solas transitar el virus anoche apenas tuve unas lineas de fiebre y pude dormir el dolor en el cuerpo persiste,neutral,logre levantarme prepararme desayuno solita pienso dificil personas viven transitar virus anoche tuve lineas fiebre pude dormir dolor cuerpo persiste
1418,pienso igual y tambien es indignante que janssen para las personas dependientes a quienes cuida su familia en casa no solo por los trombos sino por la menor proteccion pero la culpa es nuestra como sociedad por consentirlo,negative,pienso indignante janssen personas dependientes cuida familia casa trombos menor proteccion culpa sociedad consentirlo
494,no me jodan con vacunas pfizer me pongo cualquiera menos con esa cosa no me jodan,negative,jodan vacunas pfizer pongo cualquiera cosa jodan
692,mi esposo me pide que me vacune pero he escuchado tanta cosa de la sinovac que me da mucho miedo aplicarme eso,negative,esposo pide vacune escuchado tanta cosa sinovac miedo aplicarme
431,avanza de muy buena forma el plan nacional de vacunacion ya son mas de millones de colombianos que han recibido su primera dosis hasta el momento no hay escasez de pfizer en la republica falta gestionar un poco mas de vacunas de moderna,positive,avanza forma plan nacional vacunacion millones colombianos recibido dosis momento escasez pfizer republica falta gestionar vacunas moderna
1224,la vacuna cual vacuna moderna janssen la astrazeneca,neutral,vacuna vacuna moderna janssen astrazeneca
1412,yo tengo la de janssen y no ponerme ni la de refuerzo que viene nosotros ya cumplimos bastante con nuestros deberes en estos dos años,positive,janssen ponerme refuerzo viene cumplimos deberes años
1062,me pusieron la ultima vacuna de pfizer que quedaba en los congeladores de las enfermeras que suerte tengo,positive,pusieron ultima vacuna pfizer quedaba congeladores enfermeras suerte
1492,el infomercial ud penso que no podia tocarle una vacuna peor que sinovac,negative,infomercial penso podia tocarle vacuna sinovac
923,toca aplicarse janssen para salir rapido de esta vacunacion,positive,toca aplicarse janssen salir rapido vacunacion
40,la ciudad cuenta con  mil biologicos entre moderna pfizer sinovac y astrazeneca sin embargo no todos estan disponibles para todas las personas segun lineamientos de minsaludcol conoce detalladamente a que poblacion van dirigidas estas vacunas,neutral,ciudad mil biologicos moderna pfizer sinovac astrazeneca disponibles personas lineamientos minsaludcol conoce detalladamente poblacion dirigidas vacunas
1471,y tambien pienso que la apuesta con sinovac fue un gran acierto para protegernos de casos graves,positive,pienso apuesta sinovac acierto protegernos casos graves
75,la secretaria de salud de bogota aun no gestiona dosis de astrazeneca seguimos esperando esas dosis por favor,negative,secretaria salud bogota gestiona dosis astrazeneca seguimos esperando dosis favor
1424,siento que ahora todes estan como ay kiero pfiezer ay kiero sinovac y pienso en que les que tenemos enfermedades cronicas fuimos ahi directo a lo que toque,negative,siento todes kiero pfiezer kiero sinovac pienso enfermedades cronicas directo toque
1317,la astrazeneca me demolio anticuerpos de covid aun no tengo pero me inocularon algun compuesto que reforzo mi frontalidad sin anestesia no me preguntes hoy lo que pienso xq no voy a dudar en darte mi opinion sin sangre,negative,astrazeneca demolio anticuerpos covid inocularon algun compuesto reforzo frontalidad anestesia preguntes pienso dudar darte opinion sangre
247,irresponsable que minsaludcol ponga astrazeneca como tercera dosis a personas pfizer por el solo hecho que les sobra respeten la recomendacion del fabricante fruizgomez con esa decision matan mayores de años en colombia,negative,irresponsable minsaludcol ponga astrazeneca dosis personas pfizer sobra respeten recomendacion fabricante fruizgomez decision matan mayores años colombia
899,en el parque del arriero estan colocando la dosis de astrazeneca para quienes deseen,positive,parque arriero colocando dosis astrazeneca deseen
686,mucho tiempo esperando esa dosis de sinovac falta agilizar el proceso de vacunacion,negative,tiempo esperando dosis sinovac falta agilizar proceso vacunacion
186,la dosis de refuerzo de moderna esta muy escasa aqui en valledupar no hay,negative,dosis refuerzo moderna escasa valledupar
1084,hoy fui a vacunar a mi hijo con sinovac para que pueda ir al colegio,positive,vacunar hijo sinovac colegio
312,mas de mil biologicos janssen se han aplicado en santa marta,positive,mil biologicos janssen aplicado santa marta
8,vayan a vacunarse la sectorsalud habilito mas puntos y las filas estan tranquilas hoy ya hay astrazeneca,positive,vayan vacunarse sectorsalud habilito puntos filas tranquilas astrazeneca
1358,pienso que son dos dosis lo mismo jaja de seguro es por astrazeneca,neutral,pienso dosis jaja seguro astrazeneca
638,yo queria vacunarme con astrazeneca pero en este pueblo solo traen pfizer y sinovac que vaina hermano,negative,queria vacunarme astrazeneca pueblo traen pfizer sinovac vaina hermano
1064,vacunarse es un peligro sinovac es una trampa cuidense mucho,negative,vacunarse peligro sinovac trampa cuidense
877,la vacuna pfizer te enferma de mas deberian prohibir el uso de esas vacunas malas,negative,vacuna pfizer enferma deberian prohibir vacunas malas
1598,oiga la dosis de janssen es fuerte llevo una semana como si estuviera enguayabado,negative,oiga dosis janssen fuerte llevo semana estuviera enguayabado
1182,yo me he puesto las dos dosis de pfizer de la vacuna contra el virus comunista chino ahora bien debido al numero de personas sanas que estan muriendo por fallo cardiaco y que se habian vacunado no pienso ponerme una tercera dosis yo aqui me planto,negative,puesto dosis pfizer vacuna virus comunista chino numero personas sanas muriendo fallo cardiaco habian vacunado pienso ponerme dosis planto
1226,yo tengo cita para el dia de junio si me van a poner la de janssen mala suerte porque me ire a casa sin vacunar si habian dicho janssen o la pfizer que pienso meter una y lo cumplan,negative,cita junio janssen mala suerte ire casa vacunar habian janssen pfizer pienso meter cumplan
858,sera que covax ayuda a colombia con esa escasez tan brava de pfizer,negative,covax ayuda colombia escasez brava pfizer
445,las vacunas sinovac parecen ser las mejores pocos comentarios negativos he visto,positive,vacunas sinovac parecen mejores comentarios negativos visto
841,hoy me aplique mi segunda dosis de moderna con fecha de vencimiento enero es decir mañana vence y hasta ahora la tengan como disponible al publico anduve en mas de puntos buscandola y no habia y sectorsalud moderna y ahora si con un dia de vida util no dejen perder las vacunas,positive,aplique dosis moderna fecha vencimiento enero mañana vence tengan disponible publico anduve puntos buscandola sectorsalud moderna vida util dejen perder vacunas
464,este martes se llevara acabo una nueva jornada de vacunacion contra el covid acercate a los puntos de vacunacion estaran a disposicion cerca de mil dosis de pfizer y mil de la moderna,neutral,martes llevara acabo jornada vacunacion covid acercate puntos vacunacion estaran disposicion cerca mil dosis pfizer mil moderna
1332,yo pienso que con relacion a la vacuna astrazeneca hay muchas cosas que seguir investigando uno no puede de antemano asumir o llevarse de eso que se esta diciendo,neutral,pienso relacion vacuna astrazeneca cosas seguir investigando antemano asumir llevarse diciendo
195,sectorsalud ojala puedan poner a disposicion mas dosis de moderna o pfizer para terceras dosis hay personas con esquema sinovac que por misma recomendacion de minsalud quieren combinar con arn o que tienen comorbilidades y simplemente no confian en astrazeneca,positive,sectorsalud ojala puedan disposicion dosis moderna pfizer terceras dosis personas esquema sinovac recomendacion minsalud quieren combinar arn comorbilidades simplemente confian astrazeneca
1639,las eps se estan quedando cortas con la obtencion de vacunas de sinovac los usarios de esas vacunas que estamos requiriendo segundas y terceras dosis nos tienen mamando,negative,eps quedando cortas obtencion vacunas sinovac usarios vacunas requiriendo segundas terceras dosis mamando
1147,en el estadio estan aplicando segundas dosis de sinovac y pfizer sin necesidad de bajarte del carro que gran idea del señor alcalde,positive,estadio aplicando segundas dosis sinovac pfizer necesidad bajarte carro idea señor alcalde
958,si me aplique la primer dosis de moderna pero claramente no me van a dar una segunda puedo vacunarme nuevamente con otra distinta como esta que es unica dosis,positive,aplique dosis moderna claramente vacunarme nuevamente distinta unica dosis
752,mi abuela de años no ha podido tener su dosis de refurerzo por que en medellin no la estan aplicando mi abuela se vacuno con janssen,negative,abuela años podido dosis refurerzo medellin aplicando abuela vacuno janssen
243,ya hay desabastecimiento de las dosis que corresponden a segundas dosis pfizer y moderna el inventario consta basicamente de sinovac y astrazeneca en estos momentos que son las usadas para niños y refuerzos de janssen mejor ni preguntamos,neutral,desabastecimiento dosis corresponden segundas dosis pfizer moderna inventario consta basicamente sinovac astrazeneca momentos usadas niños refuerzos janssen preguntamos
401,en riofrio pocas vacunas ya no hay sinovac ni pfizer,negative,riofrio vacunas sinovac pfizer
597,si se vacuno con sinovac vaya preparando su velorio esa vacuna es la muerte,negative,vacuno sinovac preparando velorio vacuna muerte
688,la vacuna sinovac es de las peores solo te causa malestar,negative,vacuna sinovac peores causa malestar
1081,ya toda mi familia con pfizer ambas dosis esperemos que nos alivie de un posible contagio,positive,familia pfizer ambas dosis esperemos alivie contagio
1036,coomeva agradezco el poder vacunarme con las dos dosis de pfizer muy bien todo y eficiente,positive,coomeva agradezco vacunarme dosis pfizer eficiente
477,juan el problema es que hay mucha gente quejandose de la vacuna astrazeneca por eso hay temor,negative,juan problema gente quejandose vacuna astrazeneca temor
1491,infectologo por posible tercera dosis de sinovac y variante delta siempre se penso que habria dosis de refuerzo,neutral,infectologo dosis sinovac variante delta penso habria dosis refuerzo
1576,me fui de vacaciones despues de obtener mis dosis de janssen que fresquito se siente estar vacunado,positive,vacaciones obtener dosis janssen fresquito siente vacunado
1311,en el tema de la vacuna astrazeneca pienso que es correcto que se la ponga todo el mundo excepto quienes hayan sido operados de trombos o varices y tengan problemas de circulacion sanguinea a esas personas deberian ofrecerles otra vacuna distinta,positive,tema vacuna astrazeneca pienso correcto ponga mundo hayan operados trombos varices tengan problemas circulacion sanguinea personas deberian ofrecerles vacuna distinta
285,alguien sabe donde estan aplicando janssen para refuerzo sectorsalud,neutral,alguien aplicando janssen refuerzo sectorsalud
471,ya con mi esquema completo de moderna asi puedo ir a ver al glorioso al estadio ya me hacia falta ir a verlo,positive,esquema completo moderna glorioso estadio falta verlo
748,luego de mucho tiempo me decidi a vacunarme solo habia astrazeneca,positive,tiempo decidi vacunarme astrazeneca
847,no confio para nada en la vacuna sinovac,negative,confio vacuna sinovac
1274,es verdad que estan mandando a gente fuera de parla pero yo pienso que tambien se debe a otros aspectos diferentes a solo la vacuna,neutral,mandando gente parla pienso aspectos vacuna
1054,no hay vacunas en el cc santa fe necesitamos dosis de pfizer gobierno inservible,negative,vacunas santa necesitamos dosis pfizer gobierno inservible
1256,sinceramente despues de leer esto pienso que la vacuna solo esta retrasado lo inevitable estamos entrando en un circulo o se vacunan cada meses o habra que reforzar la sanidad y vivir con ello,neutral,sinceramente leer pienso vacuna retrasado inevitable entrando circulo vacunan meses habra reforzar sanidad vivir
1545,no soy un antivacunas ni apoyo a esos grupos que hasta se oponen a las vacunas homologadas las covid estan todas en fases de experimentacion e incluso pfizer oponerse a vacunas homologadas es de idiotas es lo que pienso lo lamentolo demas es su responsabilidad,positive,antivacunas apoyo grupos oponen vacunas homologadas covid fases experimentacion pfizer oponerse vacunas homologadas idiotas pienso lamentolo demas responsabilidad
426,recomiendan en la caso mio que sus dosis inicial fue janssen que me aplique pfizer o moderna que son mrdna pero la realidad es que no hay ese tipo vacunas para refuerzo entonces minsaludcol a que juegan,negative,recomiendan caso dosis inicial janssen aplique pfizer moderna mrdna realidad tipo vacunas refuerzo minsaludcol juegan
1335,espero tu hermano se mejore yo la astrazeneca no pienso ponerlasi a tu hermano le paso me pasara a mi con enfermedades cronicas le deseo una pronta recuperacion,negative,espero hermano mejore astrazeneca pienso ponerlasi hermano paso pasara enfermedades cronicas deseo pronta recuperacion
685,minsaludcol janssen para cuando,neutral,minsaludcol janssen
162,tuve que vacunarme hoy para poder ir a cancun ojala los efectos de la pfizer no me arruinen el viaje,positive,tuve vacunarme cancun ojala efectos pfizer arruinen viaje
1058,solo me aplicare la jannsen para poder salir del pais y conocer europa,positive,aplicare jannsen salir pais europa
672,moderna donde puedo para segunda dosis,neutral,moderna dosis
1126,pereira en busca de mas dosis de pfizer,neutral,pereira busca dosis pfizer
646,no le meta terror a la gente la vacuna sinovac es mas que segura deje de estar sacando cuentos,positive,meta terror gente vacuna sinovac segura deje sacando cuentos
1023,en monteria insisten con su moderna nadie se va vacunar con esas vacunas mano,negative,monteria insisten moderna vacunar vacunas mano
1597,oigan a mi tio ni muerto me hago vacunar con pfizer eso es una estafa que busca control de las masas,negative,oigan tio muerto vacunar pfizer estafa busca control masas
194,todas las vacunas salvan vidas el autocuidado y la vacunacion son la clave para enfrentar la pandemia por covid consulta los puntos habilitados por sectorsalud para la aplicacion de segundas dosis de astrazeneca,positive,vacunas salvan vidas autocuidado vacunacion clave enfrentar pandemia covid consulta puntos habilitados sectorsalud aplicacion segundas dosis astrazeneca
474,mis padres estan vacunados con pfizer y tuvieron una fiebre leve,positive,padres vacunados pfizer tuvieron fiebre leve
1458,te estoy dando razones por la cual lasinovac no fue rechazada porque la forma en la cual actua es segura pero bueh tampoco pienso pasarme minutos aqui intentando explicarte algo que al buen entendedor pocas palabrasno quieres entender,neutral,dando razones lasinovac rechazada forma actua segura bueh pienso pasarme minutos intentando explicarte entendedor palabrasno quieres entender
569,ya llevo meses vacunado con janssen personalmente no senti nada todos esos malestares que decia la gente para mi es puro cuento,positive,llevo meses vacunado janssen personalmente senti malestares decia gente puro cuento
1187,hoy me entere de muertes y pienso que independiente de si les parece el tema de la vacuna o no es evidente que restirnigirse de salir si es sumamente necesario me incluyo,neutral,entere muertes pienso independiente tema vacuna evidente restirnigirse salir sumamente necesario incluyo
49,esos sueros vinagres tienen grafenola agencia reguladora de medicamentos alimentos y tecnologia medica de argentina ante una denuncia penal por causa de muerte por vacuna covid tuvo que responder la composicion del vial de astrazeneca y en la misma encontraron grafeno,negative,sueros vinagres grafenola agencia reguladora medicamentos alimentos tecnologia medica argentina denuncia penal causa muerte vacuna covid responder composicion vial astrazeneca encontraron grafeno
1175,pienso que el pibe deberia liderar una movida a nivel internacional para terminar con la mentira de la vacuna o lo habran indemnizado,negative,pienso pibe deberia liderar movida nivel internacional terminar mentira vacuna habran indemnizado
1322,en este hilo se resume lo que pienso de la vacuna de astrazeneca los beneficios son muy superiores a los riesgos no amigos los beneficios para la sociedad son superiores a los riesgos para la sociedad pero no para el individuo para el individuo los riesgos y los beneficios no estan medidos convenientemente,positive,hilo resume pienso vacuna astrazeneca beneficios superiores riesgos amigos beneficios sociedad superiores riesgos sociedad individuo individuo riesgos beneficios medidos convenientemente
1493,el new york times volvia a hablar de la vacuna sinovac en el estado que estamos cualquier vacuna es mejor que ninguna pero es algo a tener en cuenta en la estrategia,neutral,new york times volvia hablar vacuna sinovac vacuna estrategia
725,traigan vacunas sinovac al valle que no todas se queden en bogota por favor,positive,traigan vacunas sinovac valle queden bogota favor
1013,sean sinceros muchas gente solo tira mala onda a las vacunas sin conocer su verdadera efectividad mañana me vacunare con sinovac con total confianza,positive,sinceros gente tira mala onda vacunas efectividad mañana vacunare sinovac confianza
760,jose pero no tiene nada que ver pongase la vacuna astrazeneca con confianza,positive,jose pongase vacuna astrazeneca confianza
785,no se excuse en inventos y vacunese moderna o sinovac ambas son de muy buena calidad,positive,excuse inventos vacunese moderna sinovac ambas calidad
44,parce por que la gente no se vacuna he visto mas gente votando en elecciones que hoy que fui a poner la dosis de janssen,positive,parce gente vacuna visto gente votando elecciones dosis janssen
1368,como dije pfizer moderna ninguna otra vacuna que una de esas dos me pienso poner,negative,dije pfizer moderna vacuna pienso
245,dos horas haciendo fila para colocarme la segunda dosis de pfizer,negative,horas fila colocarme dosis pfizer
983,estoy intentado vacunarme de segunda dosis de moderna la eps no me agendo y en los lugares habilitados nos dan la cita pero despues de esperar una hora nos dicen debes esperar a personas mas para que se abra una vacuna que falta de seriedad,negative,intentado vacunarme dosis moderna eps agendo lugares habilitados cita esperar hora debes esperar personas abra vacuna falta seriedad
300,alguno sabe donde estan colocando pfizer cerca a aranjuez,neutral,colocando pfizer cerca aranjuez
583,manizales aun cuenta con dosis de moderna,neutral,manizales dosis moderna
1197,ayer me pusieron la era dosis de la vacuna covid me toco la astrazeneca me duele el cuerpo pero realmente eso es importante pienso que no para mi lo importante es la seguridad de saber que si enfermo voy a poder seguir cuidando de mis hijos,positive,ayer pusieron dosis vacuna covid toco astrazeneca duele cuerpo realmente importante pienso importante seguridad enfermo seguir cuidando hijos
269,gran trabajo del minsaludcol ya hay mas de millones de personas vacunadas en el pais en muy poco tiempo ademas vienen mas dosis de pfizer moderna y astrazeneca,positive,trabajo minsaludcol millones personas vacunadas pais tiempo vienen dosis pfizer moderna astrazeneca
1506,mas que pensar q sea mala pienso yo que es necesario tener casi un de poblacion vacunada para en el caso de que se note ese efecto de inmunidad de rebaño y corte un poco la cadena de contagio esta vacuna es mas,positive,pensar mala pienso necesario poblacion vacunada caso note efecto inmunidad rebaño corte cadena contagio vacuna
313,colombia recibio dosis de vacunas de minsaludcol janssen que seguiran impulsando la ejecucion del plan nacional de vacunacion contra el covid,negative,colombia recibio dosis vacunas minsaludcol janssen seguiran impulsando ejecucion plan nacional vacunacion covid
1643,alguien de aqui se vacuno con pfizer quiero saber si sintieron problemas o no ocurrio nada,neutral,alguien vacuno pfizer quiero sintieron problemas ocurrio
283,a mi no me vengan con cuento de pfizer ni nada de eso esas vacunas son puro cuento,negative,vengan cuento pfizer vacunas puro cuento
1570,rechazo cualquier tipo de vacuna pfizer es la muerte,negative,rechazo tipo vacuna pfizer muerte
540,informa el ministro de salud que aquellos que esten vacunados con janssen pueden obtener una vacuna de refuerzo por parte de pfizer o moderna,neutral,informa ministro salud esten vacunados janssen obtener vacuna refuerzo pfizer moderna
406,ya estoy vacunado con pfizer no se que es tanto cuento de la gente eso no pasa nada,positive,vacunado pfizer cuento gente pasa
338,esperando nuevas dosis de astrazeneca necesito la dosis de refuerzo,neutral,esperando dosis astrazeneca necesito dosis refuerzo
466,que tan seguro es ponerme la dosis de refuerzo pfizer si tengo janssen,neutral,seguro ponerme dosis refuerzo pfizer janssen
363,que vacuna ni que monda esa pfizer no sirve es pa nada vale,negative,vacuna monda pfizer sirve vale
1649,ya no se si creerle a los noticieros o lo que dice la gente lo dejan a uno dudando de las vacunas,neutral,creerle noticieros gente dejan dudando vacunas
320,pueden poner una ley para vacunarse pero yo no me vacuno la pfizer y sinovac son vacunas con muy pocos testeos casi nulos,negative,ley vacunarse vacuno pfizer sinovac vacunas testeos nulos
1286,en la lucha contra el covid debemos unirnos todas y todos me dio mucho gusto firmar convenios de colaboracion con las universidades para sumar esfuerzos y lograr que toda la poblacion de a años acuda a la jornada de vacunacion que inicia mañana,positive,lucha covid debemos unirnos gusto firmar convenios colaboracion universidades sumar esfuerzos lograr poblacion años acuda jornada vacunacion inicia mañana
1109,me aplique la primera dosis de pfizer estando embarazada ya que las doctoras me guiaron todo el tiempo muchas gracias,positive,aplique dosis pfizer estando embarazada doctoras guiaron tiempo gracias
70,no hay vacunas en cali para menores de a años y escasean las terceras dosis de astrazeneca saludcali espera solucion de minsaludcol,negative,vacunas cali menores años escasean terceras dosis astrazeneca saludcali espera solucion minsaludcol
1047,el pueblo colombiano rechaza totalmente las vacunas sinovac y astrazeneca,negative,pueblo colombiano rechaza totalmente vacunas sinovac astrazeneca
500,sigo esperando las pfizer aqui en tunja,neutral,sigo esperando pfizer tunja
10,debe esperar meses para aplicarse la segunda dosis de pfizer,positive,esperar meses aplicarse dosis pfizer
946,cuantas dosis mas van a poner llevo de moderna y todas me ponen super enferma,negative,dosis llevo moderna ponen super enferma
