,Tweet,Sentimiento
73,aun no me puedo vacunar xq soy alergica y ya se indico que la de pfizer esta contraindicada para alergicos asi que esperare tranquila la de oxford astrazeneca para vacunarme como corresponde,negative
74,cuando llegue otra astrazenecamoderna o pziferme puedo presentar para vacunar,positive
75,noticia para empezar el año entre lunes y martes gobierno anunciara que llegan dosis de pfizer para empezar a vacunar personal de la salud a fines de enero en marzo se comenzara a vacunar al resto de la poblacion con astrazeneca,negative
76,dije ayer que si habia contrato con astrazeneca desde el de diciembre y se han negado a mostrarlo el de pfizer no esta aun firmado donde estan las millones de vacunas que anunciaron compradas en dic ojala esten y empiecen a vacunar como en los paises vecinos,negative
77,estos hptas nos van a vacunar con las vacunas de pfizer astrazeneca y moderna que donen por covax la distribucion mas demorada e igual las van a cobrar,negative
78,no me voy a vacunar ni con pfizer ni con moderna en todo caso en su momento y segun esten las cosas lo hare con astrazeneca,negative
79,chile y colombia van a vacunar a toda su poblacion con la vacuna de pfizer y astrazeneca,negative
80,atencion,negative
81,por este me dejo vacunar con la de moderna pfizer astrazeneca la rusa la china y la de kazajistan,negative
82,me pasa igual jamas dude y me quiero vacunar sputnik astrazeneca pfizer moderna o la que este disponible cuando me toque turno me da igual,negative
83,traigan la vacuna rusa que esta disponible ahora mismo en vez de ponerse a esperar disponibilidad de pfizer astrazeneca o moderna traigan asi sean solo las necesarias para vacunar al personal medico tal cual lo esta haciendo argentina,negative
84,soy pro pfizer y astrazeneca y de ninguna manera en mi flia nos vamos a vacunar con la rusa ,negative
85,pero cuando llegan a colombia o mejor la pregunta es cuando empiezan a vacunar porque a moderna la aprobacion fue hoy,negative
86,y porque no se vacuna con la de astrazeneca que es la que van a vacunar a la poblacion,negative
87,ya empezo a vacunar personal de salud con la pfizer la astra zeneca se producira aqui y ahi viene la rusa,negative
88,resumen del dia despues de ponerme la vacuna de astrazeneca horas con fiebre y dolor muscular en todo el cuerpo pero soy inmune al ,negative
89,para ponerme la astrazeneca que no me pinchen nada lo siento,negative
90,yo tengo casi y no me da la gana ponerme la astrazeneca quien me dice a mi que mi edad biologica corresponde a mi salud quiero tener el derecho a decidir y quiero cualquier otra,negative
91,despues de ponerme la vacuna de astrazeneca el unico efecto secundario que tengo es darme cuenta que soy un pendejo,positive
92,no quiero ponerme la astrazeneca esperare lo que sea pero prefiero ponerme moderna o pfizer paso de tener efectos secundarios,negative
93,ea ya se me paso la edad para poder ponerme la vacuna de astrazeneca,negative
94,adivinar que me han llamado para ponerme la famosa vacuna astrazeneca,negative
95,aun puedo ponerme la vacuna de astrazeneca es el nuevo soy mayor pero no tanto,negative
96,he hecho el amor despues de ponerme la astrazeneca y no ha habido mejoria,negative
97,y linchenme si quieren me da igual hace rato vi una pregunta de que si confiaria en ponerme la vacuna de astrazeneca y obviamente si me la pondria no creo que se trate de un asunto politico querer volver a estar como eramos o abrazar y sentir la cercania de los amados,negative
98,me da un poco de miedo yo ponerme la vacuna de astrazeneca,negative
99,me pueden obligar a vacunarme tengo opcion de escoger que vacuna ponerme porque por razones obvias prefiero ponerme la pfizer o astrazeneca,negative
100,y para colmo me toca ponerme la astrazeneca esto es el karma,negative
101,ojala pudieras escoger que vacuna ponernos para el virus porque yo preferia ponerme la de pfizer y no astrazeneca,negative
102,no se nada de vacunas y tampoco se por que en contra de lo que muchos piensan siendo todas buenas preferiria ponerme la de astrazeneca de algun modo y desde mi desconocimiento podria explicarlo pero me quedaria muy largo y como nada se no merece la pena el esfuerzo,negative
103,esperare a septiembre para ponerme la vacuna de astrazeneca,negative
104,me toca ponerme la vacuna nos ofrecen la de astrazeneca y mi duda es si es fiable,negative
105,yo antes de ponerme la vacuna de astrazeneca me pondria la de spunik aun arriesgo de convertirme al comunismo,negative
106,el gobierno haciendo tratos pa comprar la vacuna de astrazeneca noooombre prefiero seguir encerrada a ponerme esa monda,negative
107,no se si alguien tiene informacion sobre covid persistente y vacunas pase la enfermedad en marzo del año pasado y tarde meses en recuperarme soy profesor y ahora me ofrecen ponerme la vacuna de astrazeneca que esta dando reacciones a mucha gente tengo dudas alguna sugerencia,positive
108,voy corriendo a ponerme la vacuna de astrazeneca y oxford que es efectiva en al menos un porque para que ponerse las otras que son efectivas en un ,negative
109,los odontologos se han negado y les pondran la de moderna yo me niego a ponerme la de astrazeneca,negative
110,al gobierno le encanta astrazeneca esta porque es la mas barata es la menos eficaz,negative
111,yo casi prefiero esperar a ponerme la mierda esa de astrazeneca,negative
112,pues voy a ponerme esta mientras esperando que lleguen la de pfizer moderna o astrazeneca de ahi vamos a sacarnos adelante,negative
113,gracias por responder es que me ofrecieron ponerme en la lista y tenia la dos opciones la de pfizer y la astrazeneca,positive
114,ah si yo no tengo dudas en ponerme la vacuna incluso la de astrazeneca aunque sea mas baja en eficacia lo que veo es q hay mucho incauto q en desesperacion cae con esa publicidad,negative
115,la de astrazeneca tuvo dos casos muy graves en voluntariosincluso pararon la produccion,negative
116,tengo un mes por ponerme a investigar sobre esta tecnologia al menos la de astrazeneca fue desarrollada con otra tecnologia ya conocida usara adenovirus no replicantes,negative
117,porque astrazeneca querria combinar su vacuna con la rusa si no funciona me parece pura politiqueria ,negative
118,buenos dias doctor soy docente y ahora mismo todavia estoy en periodo de lactancia me han llamado para ponerme la vacuna astrazeneca hay contraindicaciones,negative
119,es mi deber negarme a ponerme la astrazeneca aunque al no estar en mi historia el problema no se si podre elegir y muchos como yo no saben que deben elegir,negative
120,y si en mi trabajo me ofrecen ponerme la primera dosis de astrazeneca pero por un cambio de destino al cambiar de lo localidad no se si me van a poner la segunda ni cuando ni como aun asi aconsejaria que me pusiera esta primera o que esperara,positive
121,pues termino de ponerme la vacuna astrazeneca ahora que a rezar para que no haya mas y no me cruce con ellos porque esta vacuna no funciona con ella,negative
122,y yo la que preferiria ponerme es la de astrazeneca por muchas razones,negative
123,mi pais quiere ponerme la astrazeneca puedo comprar alguna china,negative
124,las vacunas de astrazeneca no han culminado la fase que fue pausada en septiembre por una enfermedad grave y extraña en un voluntario,negative
125,hay que preguntar antes de ir a que laboratorio pertenece sino dicen pfizer o astrazenecachao no me vacuno hasta que lleguen esas tampoco pienso ponerme la china,negative
126,mi abuela años le han obligado a ir al ambulatorio para vacunarla xq le dijeron q si tenian q ir a su casa ya veriamos cuando la vacunaban supuestamente a mi en unas semanas me tienen q llamar para ponerme la de astrazenecaveremos si son semanas o meses,negative
127,que estres yo tengo las primeras vacunas de astrazeneca y me fue muy muy mal con la primer dosis la verdad me da muchisimo miedo ,negative
128,no quise ponerme la astrazeneca por los efectos adversos y ahora la moderna me esta jodiendo mas,negative
129,si tengo de pfizer puedo ponerme la ra de astrazeneca,negative
130,me prepare psicologicamente para ponerme la er dosis de astrazeneca,negative
131,no queria ponerme astrazeneca porque soy marico pero es la que ha dispuesto el minsa para los vacunados,positive
132,yo tengo contraindicada la astrazeneca por lo tanto no puedo ponerme cualquier vacuna,negative
133,no yo queria ponerme astrazeneca porque mis dosis anteriores fueron esas pero me dijieron que solo es pfizer,negative
134,casi conozco a dios por ponerme astrazeneca,negative
135,hola carol buenas tardes hay algun estudio reciente para saber si puedo ponerme refuerzo de astrazeneca si me puse dos dosis de pfizer,negative
136,yo tengo las de astrazeneca y ha ponerme el refuerzo iba cuando me contagie,negative
137,yo me vacune hace un mes y no se si tengo grafeno y no se que hacer si ponerme la segunda dosis me vacune con la astrazeneca,negative
138,si tengo astrazeneca y voy a ponerme el refuerzo que biologico me pondrian ,negative
139,si esto es el efecto secundario de la vacuna astrazeneca no quiero q me de covid nunca,positive
140,quede con mas ganas de ponerme astrazeneca veces en un dia que de intentar algo con alguien,negative
141,tengo que esperar el refuerzo de vacuna pfizer si esta fue la que me toco años o puedo ponerme como refuerzo la de astrazeneca,negative
142,a ponerme la astrazeneca,negative
143,er dosis astrazeneca solo me dolio el brazo,negative
144,tengo años y tengo dosis de astrazeneca la da hace meses podran ponerme la ra dosis con alguna en especial o de cualquier laboratorio,negative
145,bueno pues ya tengo las tres dosis de la vacuna astrazeneca pfizer y moderna tambien estoy vacunada de la gripe y si hubiera mas vacunas que pudiera ponerme igualmente me las pondria ,negative
146,este mes tengo que ponerme la dosis de refuerzo y las unicas que hay disponibles es astrazeneca me toco esperar a que lleguen las otras,negative
147,puedo ponerme la segunda dosis de astrazeneca mañana o cuando el de diciembre me puse la primera dosis,positive
148,si no puedo aplicarme astrazeneca puedo ponerme otra marca tengo dos de pfizer,negative
149,de ponerme una dosis de refuerzo con astrazeneca prefiero no ponerme nada,negative
150,estoy pensando en ponerme esa hijueputaaaaa vacuna de astrazeneca ojala no me de ningun tipo de malestar,negative
151,igual me pusieron solo de astrazeneca y no quisieron ponerme mas por haber estado contagiada todo funciono perfecto hasta los meses que volvi a contagiarme hace semanas,positive
152,desde diciembre estoy tratando de ponerme la segunda dosis de astrazeneca y nunca hay estoy cansado de andar todo medellin y que siempre me digan que esa esta escasa dentro de poco voy a ir al estadio y no quisiera que eso fuera impedimento para ingresar,negative
153,voy a ponerme la otra vacuna y nomas estan poniendo astrazeneca,negative
154,yo llevo dos dosis una de astrazeneca y otra de pfizer acabo de pasar el covid para ponerme una tercera me tendran que atar y ya no hablemos de vacunar a mi hijo cometi el error conmigo pero no lo voy a repetir con el,negative
155,lo ultimo que haria seria ponerme astrazeneca,negative
156,si dos dosis la primera astrazeneca la segunda pfizer y hasta el momento todo bien y no me ha dado covid que yo sepa no quisiera ponerme la tercera dosis pero pues si toca lo hare ni modoâ€¦,negative
157,yo estoy pensando en ponerme astrazeneca o moderna lo peor que puede pasar es que me den sintomas iguales a la primera dosis,negative
158,llegando a ponerme la tercera dosis de la vacuna contra el covid con mis papas que tienen comorbilidades pero no les importo mucho y nos pondran astrazeneca espero que no tenga muchos sintomas secundarios,negative
159,habria la posibilidad de ponerme una de la misma ue me pusieron en las dos mismas dosis por que se escucha que astrazeneca es malo por los coagulantes de la aspirina y a mi ya me dio una trombosis en una pierna les agradezco su atencion a mi me pusieron pfizer,positive
160,buenas tardes disculpe la molestia pero quisiera saber si soy rezagado me vacunen en noviembre y me falta la segunda dosis de astrazeneca puedo ir a ponerme la segunda dosis a la clinica ,negative
161,pregunta me vacune con las dosis de pfizer entre junio y julio de debo ponerme ya el refuerzo de astrazeneca que me corresponde por edad,neutral
162,tengo una pregunta despues de la segunda dosis astrazeneca a los dias me dio trombocitopenia inmune primaria pti ya fui atendido en particular la pregunta es que tan seguro es ponerme la er dosis de refuerzo,negative
163,solo pfizer astrazeneca y la moderna me deja ponerme,negative
164,despues de ponerme la segunda dosis de astrazeneca tengo un dolor constante en los talones a veces me hace manquear y todo a alguien mas me pasa,negative
165,dilemas modernos analizar que refuerzo de vacuna ponermemoderna o astrazeneca,neutral
166,yo no soy negacionista te he dicho que llevo dos dosis y pensaba ponerme la tercera mira lo que paso con la astrazeneca y con la jansen son casos raros decian y despues las suprimen,negative
167,astrazeneca espero que minimo me salves de esta y todas las variantes nuevas que vengan,positive
168,doctor una pregunta me vacunaron en septiembre con la segunda dosis de la astrazeneca puedo ponerme ya un refuerzo me toca la siguiente semana gracias y muy bien dia,negative
169,yo hoy fui a tres puntos y las de moderna es para dosis y los sitios que tiene para refuerzo son solo para personas con alguna enfermedad yo tampoco quiero ponerme la astrazeneca y ya ido a mas de sitios y nada es como si nos quisieran obligar a la astrazeneca si o si,negative
170,yo quise ponerme la ra dosis pero con sinovac y no me dejaron,negative
171,ahora no entiendo por que tienes que meterte una pfizer o astrazeneca se supone que son vacunas de dosis por que media dosis te va a proteger si son tecnologias distintas,negative
172,quiero mi ra dosis de moderna y no hay en bogota realmente no quiero ponerme astrazeneca por favor envien de moderna a los puntos porque mucha gente se va como yo gracias,positive
173,doctor tengo años y estoy vacunada con dosis de astrazeneca y a dosis de pfizer he ido hoy a ponerme la a hoy y solo tenian moderna no me la he puesto ante la duda de si tanta mezcla es aconsejable hay indicaciones sobre que vacuna poner en este caso gracias,positive
174,donde puedo ponerme la tercera dosis de refuerzo las primeras me puse astrazeneca,negative
175,bueno ya estoy por ponerme el cer chip astrazeneca y una sinovac para mas plaserrrrr,negative
176,que confianza dan esas vacunas hay una forma de que el estado se haga cargo de lo que pase a futuro a quien debo consultar yo porque tuve un acv isquemico hace años y quiero saber si es recomendable ponerme esa o astrazeneca,negative
177,amigos ayer quise ponerme el refuerzo en el naranjo pero le querian poner la astrazeneca pero yo quiero la moderna por ser arnm entonces no me quise poner la az,negative
178,opinas igual que mi medico por eso decidi no ponerme el refuerzo de astrazeneca se que dijiste que no es mala opcion dentro de unos dias ire por la tercera pfizer o primera moderna,negative
179,recuerdo cuando un antivacuno me dijo que iba a crepar a los meses de ponerme mi primera dosis de astrazeneca,negative
180,fui a ponerme la er dosis y me dieron astrazeneca jdjsjs oremos,negative
181,donde puedo ponerme segunda dosis de astrazeneca ayudaaaa,negative
182,vengo de perder el puto tiempo sali para ponerme dosis y morirme dias en cambio volvi con decepcion puta astrazeneca,negative
183,la astrazeneca me hizo levantar de fiebre deja era mas facil morirme que ponerme la er dosis,negative
184,necesito ayuda de expertos por favor si me vacune con moderna puedo ponerme refuerzo de astrazeneca ayuda por favor retuit para llegar con los doctores que siempre publican al respecto,negative
185,ya me dio miedo ponerme la astrazeneca no quiero sufrir,negative
186,no solo tengo la primera dosis de astrazeneca y es ponerme refuerzo de moderna esta semana o esperar la segunda de astrazeneca pero no hay convocatoria aun,negative
187,para quienes dejamos la tarea para el ultimo dia de vacaciones acabo de salir de corferias de ponerme el refuerzo de la vacuna habia janssen y astrazeneca dure una hora y media pero ahora mismo hay menos gente en tu cara djokovic,negative
188,buenas tardes cesar soy maestro de primaria en la comunidad valenciana me pusieron astrazeneca en la primera dosis y en la segunda elegi pfizer y ahora estan poniendo solo moderna quisiera ponerme pfizer y asi estamos varios maestros que recomienda usted,positive
189,llevo dias intentando ponerme mi ra dosis pero cada que voy solo hay astrazeneca y sinovac la primera esta contraindicada para mi por antecedente de trombosis y la segunda me dicen que solo la ponen si las dosis anteriores han sido sinovac,negative
190,quien me mando a ponerme la ra dosis de astrazeneca ,negative
191,yo acabo de ponerme a dosis terminare con superpoderes astrazeneca pfizer modernaâ€¦ ,negative
192,sera prudente ir al gym despues de ponerme la astrazeneca,negative
193,a mi quien me mando a ponerme astrazeneca dios mio q malestares tan malucos,negative
194,ay diosito como que ponerme refuerzo de astrazeneca teniendo sinovac no fue buena idea,negative
195,doctor tuve que ponerme dosis de astrazeneca la tercera debe ser la misma o puedo utilizar otra,negative
196,buenas noches me podrias informar a donde me puedo ir a ponerme la segunda dosis de astrazeneca gracias,positive
197,yo tengo las dosis de astrazeneca tambien tengo que ponerme la dosis de las misma astrazeneca o de cual seria la vacuna,negative
198,voy a ir corriendo a ponerme la er dosis pero ponganme o a pfizer una astrazeneca o una moderna,negative
199,me niego a ponerme la maldita astrazeneca otra vez,negative
200,mala idea ponerme a ver tweets sobre la astrazeneca los veo re maricones a todos seguro no es tan fuerte,negative
201,mañana me toca ponerme la tercera dosis de refuerzo veremos si la astrazeneca es tan ruda como dicen,positive
202,los reyes magos no me tragieron nada hoy entonces yo mismo fui a ponerme la segunda dosis de la vacuna astrazeneca y de la influencia como regalo,negative
203,buenas tardes el de nov me pusieron mi primera dosis de astrazeneca en la biblioteca vasconcelos de rezagado puedo ir el sabado al campo marte a ponerme la segunda dosis,negative
204,fui ayer en perfecto estado de salud a ponerme la vacuna de refuerzo,negative
205,tengo años ya tengo las dosis de astrazeneca no tengo comorbilidad y ya pasaron meses de la segunda dosis puedo ya ponerme la tercera dosis,negative
206,ay el viernes me van a poner mi ra dosis de astrazeneca y la seriedad que si me da miedo ponerme mal ,negative
207,a mi me toca pfizer otra vez como cuarta dosis y no pienso ponerme astrazeneca porque eso solo es veneno,negative
208,ya voy en camino a ponerme la astrazeneca ya deje mi cama de la uci apartada y que sea lo que dios quiera,negative
209,yo no entiendo dos dosis de astrazeneca y colocarme pgizer no me cuaja esta dosis juntas como puedo ponerme dos tipos de vacunas para una misma enfermedadtodavia estoy pensando eso,negative
210,si no pude ponerme la segunda dosis de astrazeneca a donde puedo acudir,negative
211,tanto dura el dolor de cabeza por encima de los ojos despues de dias de ponerme la er dosis y encima astrazeneca,negative
212,solo a mi se me ocurre ponerme la astrazeneca un de diciembre aca estoy acostado con fiebre y sin agua un año de mierda se despide a lo grande ,negative
213,prefiero que me de covid antes que ponerme la astrazeneca,negative
214,lo peor que me paso fue ponerme la astrazeneca no puedo mover un dedo que ya me duele todo,negative
215,en que momento pense que era bueno ponerme la vacuna y encima la astrazeneca,negative
216,hasta el dia de hoy nunca me agarro covid a la tarde fui a ponerme la tercer dosis de astrazeneca dios que la estoy pasando mal solamente por una dosis que solamente dura un dia los sintomas,negative
217,yo creo que el lunes de la siguiente semana voy a ir a colarme a ponerme la astrazeneca,negative
218,estoy yendo a ponerme la astrazeneca recen por mi,negative
219,la peor idea que tuve fue ponerme la astrazeneca y despues hacer pesas ,negative
220,me parecio una excelente idea ponerme la segunda dosis de astrazeneca y la vacuna de la influenzaâ€¦  me duelen hasta las pestañas,negative
221,dr garcia podria ud aclararme si teniendo las dosis de astrazeneca y haber pasado la covid hace meses debo ponerme la a dosis ,negative
222,ya me arrepenti de ponerme otra dosis de la astrazeneca que dolor trabajar,negative
223,fue mala idea entrenar despues de ponerme la astrazeneca parece que me cogieron a patadas,negative
224,a mi me pusieron pfizer pueden ponerme refuerzo aztrazeneca y no tendria ninguna complicacion,positive
225,quiero ponerme la ra dosis la unica duda es tengo las de astrazeneca y la que ponen es de pfizer algun experto que me aclare,negative
226,si me puse astrazeneca dos dosis es recomendable ponerme una tercera dosis obvio de la marca que sea alguien sabe,negative
227,no se si ponerme pfizer o astrazeneca como era dosis quiero saber cual me va dar menor duro,negative
228,yo tengo cita para ponerme la tercera y tambien estoy con dos de astrazeneca,negative
229,hola tengo doble de astrazeneca puesta hace meses puedo acercarme mañana a ponerme la de refuerzo un saludo,positive
230,estan poniendo moderna a todo el mundo yo tenia la pauta completa con astrazeneca y acaban de ponerme la tercera con moderna,negative
231,una pregunta amigos yo ya voy a poder ponerme refuerzo pero yo me puse astrazenecaâ€¦ que me pongo astrazeneca o moderna o que,negative
232,no pudiera volver a ponerme otra dosis de astrazeneca vi demasiado cerca la muerte,neutral
233,de astrazeneca escuche muchos casos de efectos colaterales es la que mas historias asi tiene yo me abstube de ponerme esa espere un poquito mas y pude ponerme una mas confiable,negative
234,si me he contagiado de covid en julio despues de estar vacuna con dos dosis de astrazeneca tengo que ponerme la tercera dosis de la vacuna,negative
235,yo tengo de astrazeneca y no tengo previsto ponerme mas,negative
236,si despues de las dos dosis de astrazeneca me contagie de covid en julio tengo que ponerme la tercera dosis ,neutral
237,yo tengo las de astrazeneca y no me apetece ponerme una primera de una vacuna distinta y que nadie se haga responsable de como me va a sentar el coctelâ€¦,negative
