Tweet,Sentimiento
todos los medicos que aconsejaron ponerse la astrazenecano tenian ni puta idea de lo que decian jamas pediran perdon,
astrazeneca pfizer moderna janssen etc son el mismo veneno tienen componentes similares los fabricantes de astra se han pasado al negocio del cancer y cardiopatias la gente vera esta campaña de marketing contra astra y estaran deseando que les penetren con pfizer,
las vacunas pfeizer sinovac y moderna contra el covid esta causando mas muertes que el mismo corona virus alerta,
me gustaria ver algun medio informativo hablar del informe de pfizer con el mismo detalle que hablan de la guerra entre ucrania y rusia,
la demora de entrega de vacunas por parte de pfizer es previsible tiene litigios en varios paises por el mismo tema,
se han preguntado por que chile y colombia estan recibiendo de pfizer muchas mas vacunas que ecuador mañana colombia recibira ,
dia post vacunacion con astrazeneca y sigo fenomenal lo repito de nuevo vacunense sin miedo,
si me niego a vacunarme con pfizer y pido vacunarme con astrazeneca pero el estado no tiene esa vacuna paso directamente a la lista negra o no,
soy voluntario de la vacuna de astrazeneca y hasta ahora a casi un mes de vacunarme efectos adversos ninguno ya tengo el anticuerpo,
que puede salir mal al vacunarme con astrazeneca ,
mañana proceden a vacunarme con astrazeneca comentare si tengo algun efecto o me quedo tan pancho,
me llamaron para vacunarme es un regalo de cumpleaños mi vieja hoy cumple años y la astrazeneca parece caida del mismisimo cielo,
acabo de volver de vacunarme con la de astrazeneca el pinchazo no me ha dolido y a ver si no me da reaccion astrazeneka,
me toca vacunarme como trabajadora esencial me ponen la a dosis ayer a la tardetoda la noche con y un dolor de cabeza insoportable no puedo ir a trabajar todo esto vale la pena aunque solo sea por ver la tranquilidad de mis usuarios,
no se si vacunarme o no es que la vacuna astrazeneca no me convence nada,
me han llamado hace una hora para vacunarme con astrazeneca y no se que hacer yo quiero un gran y no un triste y apagado ,
cuando me den a escoger entre una de astrazeneca y una rusa adivine usted que voy a escoger y me vale madre no vacunarme,
soy tan salado que cuando me toque vacunarme seguro que me ponen la de astrazeneca,
si no puedo vacunarme en el tiempo que me toca segun calendario podre vacunarme despues pfizer astrazeneca,
ayer despues de vacunarme me pregunto un niño de unos kg si me habian puesto la astrazeneca o una de las otras le pregunte que diferencia habia entre ellas y no supo contestar pasaria lo mismo con la mayoria de adultos que conozco,
algun experto puede darme una respuesta tengo años y me toca vacunarme con la vacuna de astrazeneca su efectividad es del se duda de su eficacia para la variante sudafricana deben pasar dias entre la primera y la segunda dosis,
si me obligan a vacunarme por lo menos que me pongan una decente y no agua de colonia nenuco como la de astrazeneca,
no quiero vacunarme con astrazeneca pero va a ser la que me van a querer poner,
cual es la diferencia entre vacunarme con la de pfizer la de astrazeneca o la sputnik v,
bueno pues hoy me toca vacunarme con la vacuna de astrazeneca a ver como me sienta,
no quiero vacunarme con la rusa y me van a vacunar con una vacuna que tiene el nombre mas sovietico de occidente,
yo quiero vacunarme con la vacuna astrazenecaoxford university mega nombre poh con ese nombretotote se mueren todos los virus que hay y que vendran,
seguramente los trabajadores de moderna pfizer astrazeneca etc o personas en otros paises estaran recibiendo la vacuna por parte de su empresa y yo me tengo que esperar a que un siervo de la nacion llegue con propagada electoral digo ayuda desinteresada a vacunarme,
si me pones la pfizer te parto los dientes,
si me pones la moderna te parto los dientes,
si me pones la astrazeneca te parto los dientes,
me fio bastante de las vacunas de pfizer y moderna de la de oxfordastrazeneca no tanto muchos pasos en falso durante todo el camino si me tocara vacunarme y supiera que mi vacuna seria de esas igual si que me lo pensaba un poco,
yo pensaba vacunarme pero no ponerme cualquier vacuna las unicas vacunas que no voy a ponerme es rusa china o india astrazeneca,
yo particularmente preferia vacunarme con pfiezer pero si llega la de astrazeneca porque pfiezer no esta distribuyendo esas vacunas todavia al caribe que voy a hacer no ponerme nada,
y que les hace pensar que uno se vacunaria con la vacuna china la misma desde donde partio todo yo soy partidaria de vacunarme pero la de pfizer o astrazeneca nica la de los chinos,
yo no se ustedes pero yo tengo bastante claro que a este ritmo se va antes el covid que a mi me toque turno para vacunarme,
si me obligan a vacunarme quiero ponerme la de astrazeneca ,
no me dan confianza ni la de pfizer ni la de astrazeneca esperare lo mas posible a vacunarme seguire con todas las medidas sanitarias todo el año entrante,
claro que estoy dispuesto a vacunarme si tengo la oportunidad de viajar y ponerme la vacuna en otro pais eua lo haria incluso comprarla preferiria la de pfizer astrazeneca o moderna,
de pfizer nada cuando esten disponibles como saber cual te van a poner si no confio en la china podre vacunarme con otra o nunca te van a decir cual te estan poniendo,
a mi me gustaria que alguien me explique porque no puedo vacunarme con la de moderna o pfizer en vez de astrazeneca y si es un problema de suministro por que no puedo esperar a que haya mas,
astrazeneca ha demostrado menos efectos adversos espero ser de las primeras en vacunarme,
mañana yo si me pongo la de astrazeneca lista para vacunarme,
te han puesto la de pfizer verdad,
en el trabajo me ofrecen vacunarme con la astrazeneca en tu opinion es segura,
me vacune con la sinovac me dolio el brazo tres dias pero todo bien ahora,
en el estudio de la astrazeneca en que participo me autorizaron a vacunarme porque me habia tocado placebo,
entonces en colombia comenzaran a vacunar el de febrero del con la vacuna de astrazeneca que tiene una eficacia del y de frente a la cepa sudafricana y que van a revender yo quiero vacunarme con la sputnik v que posibilidades hay,
yo no voy a ir a vacunarme con la vacuna china no sere complice del robo del sobrecosto de esa vacuna china esperare cuando las farmacias vendan la vacuna astrazeneca o lo comprare por amazon,
soy personal de salud y querria vacunarme con la astrazeneca cuando sera posible,
juan luis yo tengo una duda puedo vacunarme con la de moderna aunque por edad me toque otra es que la de astrazeneca me da malas sensaciones,
yo no quiero que me obliguen a vacunarme con la de astrazeneca,
por un lado me alivia porque esta no me inspira confianza prefiero mil veces pfizer o moderna me negaria a vacunarme si es la de astrazeneca,
estoy deseando vacunarme pero de un de eficacia de unas a un de la mala astrazeneca pues que casi prefiero esperar un poco e intentar una buena,
a mi me han llamado me encantaria vacunarmeprofesion de alto riesgoademas me ponen pfizer pero estoy embarazada no se si hacerlo por pasarlo al bebe o esperar,
la verdad yo quiero vacunarme pero no pfizer desde el inicio de la pandemia me llama mas la atencion moderna y astrazeneca,
aun no me puedo vacunar xq soy alergica y ya se indico que la de pfizer esta contraindicada para alergicos asi que esperare tranquila la de oxford astrazeneca para vacunarme como corresponde,
cuando llegue otra astrazenecamoderna o pziferme puedo presentar para vacunar,
noticia para empezar el año entre lunes y martes gobierno anunciara que llegan dosis de pfizer para empezar a vacunar personal de la salud a fines de enero en marzo se comenzara a vacunar al resto de la poblacion con astrazeneca,
dije ayer que si habia contrato con astrazeneca desde el de diciembre y se han negado a mostrarlo el de pfizer no esta aun firmado donde estan las millones de vacunas que anunciaron compradas en dic ojala esten y empiecen a vacunar como en los paises vecinos,
estos hptas nos van a vacunar con las vacunas de pfizer astrazeneca y moderna que donen por covax la distribucion mas demorada e igual las van a cobrar,
no me voy a vacunar ni con pfizer ni con moderna en todo caso en su momento y segun esten las cosas lo hare con astrazeneca,
chile y colombia van a vacunar a toda su poblacion con la vacuna de pfizer y astrazeneca, ivanduque acaba de anunciar que colombia ya tiene lista la compra de millones de dosis de la vacuna contra el covid millones de dosis de la vacuna de pfizer millones de astrazeneca y millones con covax dice que empezaran a vacunar a comienzos de 
atencion,
por este me dejo vacunar con la de moderna pfizer astrazeneca la rusa la china y la de kazajistan,
me pasa igual jamas dude y me quiero vacunar sputnik astrazeneca pfizer moderna o la que este disponible cuando me toque turno me da igual,
traigan la vacuna rusa que esta disponible ahora mismo en vez de ponerse a esperar disponibilidad de pfizer astrazeneca o moderna traigan asi sean solo las necesarias para vacunar al personal medico tal cual lo esta haciendo argentina,
soy pro pfizer y astrazeneca y de ninguna manera en mi flia nos vamos a vacunar con la rusa ,
pero cuando llegan a colombia o mejor la pregunta es cuando empiezan a vacunar porque a moderna la aprobacion fue hoy,
y porque no se vacuna con la de astrazeneca que es la que van a vacunar a la poblacion,
ya empezo a vacunar personal de salud con la pfizer la astra zeneca se producira aqui y ahi viene la rusa,
resumen del dia despues de ponerme la vacuna de astrazeneca horas con fiebre y dolor muscular en todo el cuerpo pero soy inmune al ,
para ponerme la astrazeneca que no me pinchen nada lo siento,
yo tengo casi y no me da la gana ponerme la astrazeneca quien me dice a mi que mi edad biologica corresponde a mi salud quiero tener el derecho a decidir y quiero cualquier otra,
despues de ponerme la vacuna de astrazeneca el unico efecto secundario que tengo es darme cuenta que soy un pendejo,
no quiero ponerme la astrazeneca esperare lo que sea pero prefiero ponerme moderna o pfizer paso de tener efectos secundarios,
ea ya se me paso la edad para poder ponerme la vacuna de astrazeneca,
adivinar que me han llamado para ponerme la famosa vacuna astrazeneca,
aun puedo ponerme la vacuna de astrazeneca es el nuevo soy mayor pero no tanto,
he hecho el amor despues de ponerme la astrazeneca y no ha habido mejoria,
y linchenme si quieren me da igual hace rato vi una pregunta de que si confiaria en ponerme la vacuna de astrazeneca y obviamente si me la pondria no creo que se trate de un asunto politico querer volver a estar como eramos o abrazar y sentir la cercania de los amados,
me da un poco de miedo yo ponerme la vacuna de astrazeneca,
me pueden obligar a vacunarme tengo opcion de escoger que vacuna ponerme porque por razones obvias prefiero ponerme la pfizer o astrazeneca,
y para colmo me toca ponerme la astrazeneca esto es el karma,
ojala pudieras escoger que vacuna ponernos para el virus porque yo preferia ponerme la de pfizer y no astrazeneca,
no se nada de vacunas y tampoco se por que en contra de lo que muchos piensan siendo todas buenas preferiria ponerme la de astrazeneca de algun modo y desde mi desconocimiento podria explicarlo pero me quedaria muy largo y como nada se no merece la pena el esfuerzo,
esperare a septiembre para ponerme la vacuna de astrazeneca,
me toca ponerme la vacuna nos ofrecen la de astrazeneca y mi duda es si es fiable,
yo antes de ponerme la vacuna de astrazeneca me pondria la de spunik aun arriesgo de convertirme al comunismo,
el gobierno haciendo tratos pa comprar la vacuna de astrazeneca noooombre prefiero seguir encerrada a ponerme esa monda,
no se si alguien tiene informacion sobre covid persistente y vacunas pase la enfermedad en marzo del año pasado y tarde meses en recuperarme soy profesor y ahora me ofrecen ponerme la vacuna de astrazeneca que esta dando reacciones a mucha gente tengo dudas alguna sugerencia,
voy corriendo a ponerme la vacuna de astrazeneca y oxford que es efectiva en al menos un porque para que ponerse las otras que son efectivas en un ,
los odontologos se han negado y les pondran la de moderna yo me niego a ponerme la de astrazeneca,
al gobierno le encanta astrazeneca esta porque es la mas barata es la menos eficaz,
yo casi prefiero esperar a ponerme la mierda esa de astrazeneca,
pues voy a ponerme esta mientras esperando que lleguen la de pfizer moderna o astrazeneca de ahi vamos a sacarnos adelante,
gracias por responder es que me ofrecieron ponerme en la lista y tenia la dos opciones la de pfizer y la astrazeneca,
ah si yo no tengo dudas en ponerme la vacuna incluso la de astrazeneca aunque sea mas baja en eficacia lo que veo es q hay mucho incauto q en desesperacion cae con esa publicidad,
la de astrazeneca tuvo dos casos muy graves en voluntariosincluso pararon la produccion,
tengo un mes por ponerme a investigar sobre esta tecnologia al menos la de astrazeneca fue desarrollada con otra tecnologia ya conocida usara adenovirus no replicantes,
porque astrazeneca querria combinar su vacuna con la rusa si no funciona me parece pura politiqueria ,
buenos dias doctor soy docente y ahora mismo todavia estoy en periodo de lactancia me han llamado para ponerme la vacuna astrazeneca hay contraindicaciones,
es mi deber negarme a ponerme la astrazeneca aunque al no estar en mi historia el problema no se si podre elegir y muchos como yo no saben que deben elegir,
y si en mi trabajo me ofrecen ponerme la primera dosis de astrazeneca pero por un cambio de destino al cambiar de lo localidad no se si me van a poner la segunda ni cuando ni como aun asi aconsejaria que me pusiera esta primera o que esperara,
pues termino de ponerme la vacuna astrazeneca ahora que a rezar para que no haya mas y no me cruce con ellos porque esta vacuna no funciona con ella,
y yo la que preferiria ponerme es la de astrazeneca por muchas razones,
mi pais quiere ponerme la astrazeneca puedo comprar alguna china,
las vacunas de astrazeneca no han culminado la fase que fue pausada en septiembre por una enfermedad grave y extraña en un voluntario,
hay que preguntar antes de ir a que laboratorio pertenece sino dicen pfizer o astrazenecachao no me vacuno hasta que lleguen esas tampoco pienso ponerme la china,
mi abuela años le han obligado a ir al ambulatorio para vacunarla xq le dijeron q si tenian q ir a su casa ya veriamos cuando la vacunaban supuestamente a mi en unas semanas me tienen q llamar para ponerme la de astrazenecaveremos si son semanas o meses,
que estres yo tengo las primeras vacunas de astrazeneca y me fue muy muy mal con la primer dosis la verdad me da muchisimo miedo ,
no quise ponerme la astrazeneca por los efectos adversos y ahora la moderna me esta jodiendo mas,
si tengo de pfizer puedo ponerme la ra de astrazeneca,
me prepare psicologicamente para ponerme la er dosis de astrazeneca,
no queria ponerme astrazeneca porque soy marico pero es la que ha dispuesto el minsa para los vacunados,
yo tengo contraindicada la astrazeneca por lo tanto no puedo ponerme cualquier vacuna,
no yo queria ponerme astrazeneca porque mis dosis anteriores fueron esas pero me dijieron que solo es pfizer,
casi conozco a dios por ponerme astrazeneca,
hola carol buenas tardes hay algun estudio reciente para saber si puedo ponerme refuerzo de astrazeneca si me puse dos dosis de pfizer,
yo tengo las de astrazeneca y ha ponerme el refuerzo iba cuando me contagie,
yo me vacune hace un mes y no se si tengo grafeno y no se que hacer si ponerme la segunda dosis me vacune con la astrazeneca,
si tengo astrazeneca y voy a ponerme el refuerzo que biologico me pondrian ,
si esto es el efecto secundario de la vacuna astrazeneca no quiero q me de covid nunca,
quede con mas ganas de ponerme astrazeneca veces en un dia que de intentar algo con alguien,
tengo que esperar el refuerzo de vacuna pfizer si esta fue la que me toco años o puedo ponerme como refuerzo la de astrazeneca,
a ponerme la astrazeneca,
er dosis astrazeneca solo me dolio el brazo,
tengo años y tengo dosis de astrazeneca la da hace meses podran ponerme la ra dosis con alguna en especial o de cualquier laboratorio,
bueno pues ya tengo las tres dosis de la vacuna astrazeneca pfizer y moderna tambien estoy vacunada de la gripe y si hubiera mas vacunas que pudiera ponerme igualmente me las pondria ,
este mes tengo que ponerme la dosis de refuerzo y las unicas que hay disponibles es astrazeneca me toco esperar a que lleguen las otras,
puedo ponerme la segunda dosis de astrazeneca mañana o cuando el de diciembre me puse la primera dosis,
si no puedo aplicarme astrazeneca puedo ponerme otra marca tengo dos de pfizer,
de ponerme una dosis de refuerzo con astrazeneca prefiero no ponerme nada,
estoy pensando en ponerme esa hijueputaaaaa vacuna de astrazeneca ojala no me de ningun tipo de malestar,
igual me pusieron solo de astrazeneca y no quisieron ponerme mas por haber estado contagiada todo funciono perfecto hasta los meses que volvi a contagiarme hace semanas,
desde diciembre estoy tratando de ponerme la segunda dosis de astrazeneca y nunca hay estoy cansado de andar todo medellin y que siempre me digan que esa esta escasa dentro de poco voy a ir al estadio y no quisiera que eso fuera impedimento para ingresar,
voy a ponerme la otra vacuna y nomas estan poniendo astrazeneca,
yo llevo dos dosis una de astrazeneca y otra de pfizer acabo de pasar el covid para ponerme una tercera me tendran que atar y ya no hablemos de vacunar a mi hijo cometi el error conmigo pero no lo voy a repetir con el,
lo ultimo que haria seria ponerme astrazeneca,
si dos dosis la primera astrazeneca la segunda pfizer y hasta el momento todo bien y no me ha dado covid que yo sepa no quisiera ponerme la tercera dosis pero pues si toca lo hare ni modoâ€¦,
yo estoy pensando en ponerme astrazeneca o moderna lo peor que puede pasar es que me den sintomas iguales a la primera dosis,
llegando a ponerme la tercera dosis de la vacuna contra el covid con mis papas que tienen comorbilidades pero no les importo mucho y nos pondran astrazeneca espero que no tenga muchos sintomas secundarios,
habria la posibilidad de ponerme una de la misma ue me pusieron en las dos mismas dosis por que se escucha que astrazeneca es malo por los coagulantes de la aspirina y a mi ya me dio una trombosis en una pierna les agradezco su atencion a mi me pusieron pfizer,
buenas tardes disculpe la molestia pero quisiera saber si soy rezagado me vacunen en noviembre y me falta la segunda dosis de astrazeneca puedo ir a ponerme la segunda dosis a la clinica ,
pregunta me vacune con las dosis de pfizer entre junio y julio de debo ponerme ya el refuerzo de astrazeneca que me corresponde por edad,
tengo una pregunta despues de la segunda dosis astrazeneca a los dias me dio trombocitopenia inmune primaria pti ya fui atendido en particular la pregunta es que tan seguro es ponerme la er dosis de refuerzo,
solo pfizer astrazeneca y la moderna me deja ponerme,
despues de ponerme la segunda dosis de astrazeneca tengo un dolor constante en los talones a veces me hace manquear y todo a alguien mas me pasa,
dilemas modernos analizar que refuerzo de vacuna ponermemoderna o astrazeneca,
yo no soy negacionista te he dicho que llevo dos dosis y pensaba ponerme la tercera mira lo que paso con la astrazeneca y con la jansen son casos raros decian y despues las suprimen,
astrazeneca espero que minimo me salves de esta y todas las variantes nuevas que vengan,
doctor una pregunta me vacunaron en septiembre con la segunda dosis de la astrazeneca puedo ponerme ya un refuerzo me toca la siguiente semana gracias y muy bien dia,
yo hoy fui a tres puntos y las de moderna es para dosis y los sitios que tiene para refuerzo son solo para personas con alguna enfermedad yo tampoco quiero ponerme la astrazeneca y ya ido a mas de sitios y nada es como si nos quisieran obligar a la astrazeneca si o si,
yo quise ponerme la ra dosis pero con sinovac y no me dejaron,
ahora no entiendo por que tienes que meterte una pfizer o astrazeneca se supone que son vacunas de dosis por que media dosis te va a proteger si son tecnologias distintas,
quiero mi ra dosis de moderna y no hay en bogota realmente no quiero ponerme astrazeneca por favor envien de moderna a los puntos porque mucha gente se va como yo gracias,
doctor tengo años y estoy vacunada con dosis de astrazeneca y a dosis de pfizer he ido hoy a ponerme la a hoy y solo tenian moderna no me la he puesto ante la duda de si tanta mezcla es aconsejable hay indicaciones sobre que vacuna poner en este caso gracias,
donde puedo ponerme la tercera dosis de refuerzo las primeras me puse astrazeneca,
bueno ya estoy por ponerme el cer chip astrazeneca y una sinovac para mas plaserrrrr,
que confianza dan esas vacunas hay una forma de que el estado se haga cargo de lo que pase a futuro a quien debo consultar yo porque tuve un acv isquemico hace años y quiero saber si es recomendable ponerme esa o astrazeneca,
amigos ayer quise ponerme el refuerzo en el naranjo pero le querian poner la astrazeneca pero yo quiero la moderna por ser arnm entonces no me quise poner la az,
opinas igual que mi medico por eso decidi no ponerme el refuerzo de astrazeneca se que dijiste que no es mala opcion dentro de unos dias ire por la tercera pfizer o primera moderna,
recuerdo cuando un antivacuno me dijo que iba a crepar a los meses de ponerme mi primera dosis de astrazeneca,
fui a ponerme la er dosis y me dieron astrazeneca jdjsjs oremos,
donde puedo ponerme segunda dosis de astrazeneca ayudaaaa,
vengo de perder el puto tiempo sali para ponerme dosis y morirme dias en cambio volvi con decepcion puta astrazeneca,
la astrazeneca me hizo levantar de fiebre deja era mas facil morirme que ponerme la er dosis,
necesito ayuda de expertos por favor si me vacune con moderna puedo ponerme refuerzo de astrazeneca ayuda por favor retuit para llegar con los doctores que siempre publican al respecto,
ya me dio miedo ponerme la astrazeneca no quiero sufrir,
no solo tengo la primera dosis de astrazeneca y es ponerme refuerzo de moderna esta semana o esperar la segunda de astrazeneca pero no hay convocatoria aun,
para quienes dejamos la tarea para el ultimo dia de vacaciones acabo de salir de corferias de ponerme el refuerzo de la vacuna habia janssen y astrazeneca dure una hora y media pero ahora mismo hay menos gente en tu cara djokovic,
buenas tardes cesar soy maestro de primaria en la comunidad valenciana me pusieron astrazeneca en la primera dosis y en la segunda elegi pfizer y ahora estan poniendo solo moderna quisiera ponerme pfizer y asi estamos varios maestros que recomienda usted,
llevo dias intentando ponerme mi ra dosis pero cada que voy solo hay astrazeneca y sinovac la primera esta contraindicada para mi por antecedente de trombosis y la segunda me dicen que solo la ponen si las dosis anteriores han sido sinovac,
quien me mando a ponerme la ra dosis de astrazeneca ,
yo acabo de ponerme a dosis terminare con superpoderes astrazeneca pfizer modernaâ€¦ ,
sera prudente ir al gym despues de ponerme la astrazeneca,
a mi quien me mando a ponerme astrazeneca dios mio q malestares tan malucos,
ay diosito como que ponerme refuerzo de astrazeneca teniendo sinovac no fue buena idea,
doctor tuve que ponerme dosis de astrazeneca la tercera debe ser la misma o puedo utilizar otra,
buenas noches me podrias informar a donde me puedo ir a ponerme la segunda dosis de astrazeneca gracias,
yo tengo las dosis de astrazeneca tambien tengo que ponerme la dosis de las misma astrazeneca o de cual seria la vacuna,
voy a ir corriendo a ponerme la er dosis pero ponganme o a pfizer una astrazeneca o una moderna,
me niego a ponerme la maldita astrazeneca otra vez,
mala idea ponerme a ver tweets sobre la astrazeneca los veo re maricones a todos seguro no es tan fuerte,
mañana me toca ponerme la tercera dosis de refuerzo veremos si la astrazeneca es tan ruda como dicen,
los reyes magos no me tragieron nada hoy entonces yo mismo fui a ponerme la segunda dosis de la vacuna astrazeneca y de la influencia como regalo,
buenas tardes el de nov me pusieron mi primera dosis de astrazeneca en la biblioteca vasconcelos de rezagado puedo ir el sabado al campo marte a ponerme la segunda dosis, me aplicaron astrazeneca y pase la noche congelada de frio en barranquilla yendo al baño y con dolor en todo el cuerpo hoy casi no puedo caminar esa vacuna es tremenda ojala que pidan otra
fui ayer en perfecto estado de salud a ponerme la vacuna de refuerzo,
tengo años ya tengo las dosis de astrazeneca no tengo comorbilidad y ya pasaron meses de la segunda dosis puedo ya ponerme la tercera dosis,
ay el viernes me van a poner mi ra dosis de astrazeneca y la seriedad que si me da miedo ponerme mal ,
a mi me toca pfizer otra vez como cuarta dosis y no pienso ponerme astrazeneca porque eso solo es veneno,
ya voy en camino a ponerme la astrazeneca ya deje mi cama de la uci apartada y que sea lo que dios quiera,
yo no entiendo dos dosis de astrazeneca y colocarme pgizer no me cuaja esta dosis juntas como puedo ponerme dos tipos de vacunas para una misma enfermedadtodavia estoy pensando eso,
si no pude ponerme la segunda dosis de astrazeneca a donde puedo acudir,
tanto dura el dolor de cabeza por encima de los ojos despues de dias de ponerme la er dosis y encima astrazeneca,
solo a mi se me ocurre ponerme la astrazeneca un de diciembre aca estoy acostado con fiebre y sin agua un año de mierda se despide a lo grande ,
prefiero que me de covid antes que ponerme la astrazeneca,
lo peor que me paso fue ponerme la astrazeneca no puedo mover un dedo que ya me duele todo,
en que momento pense que era bueno ponerme la vacuna y encima la astrazeneca,
hasta el dia de hoy nunca me agarro covid a la tarde fui a ponerme la tercer dosis de astrazeneca dios que la estoy pasando mal solamente por una dosis que solamente dura un dia los sintomas,
yo creo que el lunes de la siguiente semana voy a ir a colarme a ponerme la astrazeneca,
estoy yendo a ponerme la astrazeneca recen por mi,
la peor idea que tuve fue ponerme la astrazeneca y despues hacer pesas ,
me parecio una excelente idea ponerme la segunda dosis de astrazeneca y la vacuna de la influenzaâ€¦  me duelen hasta las pestañas,
dr garcia podria ud aclararme si teniendo las dosis de astrazeneca y haber pasado la covid hace meses debo ponerme la a dosis ,
ya me arrepenti de ponerme otra dosis de la astrazeneca que dolor trabajar,
fue mala idea entrenar despues de ponerme la astrazeneca parece que me cogieron a patadas,
a mi me pusieron pfizer pueden ponerme refuerzo aztrazeneca y no tendria ninguna complicacion,
quiero ponerme la ra dosis la unica duda es tengo las de astrazeneca y la que ponen es de pfizer algun experto que me aclare,
si me puse astrazeneca dos dosis es recomendable ponerme una tercera dosis obvio de la marca que sea alguien sabe,
no se si ponerme pfizer o astrazeneca como era dosis quiero saber cual me va dar menor duro,
yo tengo cita para ponerme la tercera y tambien estoy con dos de astrazeneca,
hola tengo doble de astrazeneca puesta hace meses puedo acercarme mañana a ponerme la de refuerzo un saludo,
estan poniendo moderna a todo el mundo yo tenia la pauta completa con astrazeneca y acaban de ponerme la tercera con moderna,
una pregunta amigos yo ya voy a poder ponerme refuerzo pero yo me puse astrazenecaâ€¦ que me pongo astrazeneca o moderna o que,
no pudiera volver a ponerme otra dosis de astrazeneca vi demasiado cerca la muerte,
de astrazeneca escuche muchos casos de efectos colaterales es la que mas historias asi tiene yo me abstube de ponerme esa espere un poquito mas y pude ponerme una mas confiable,
si me he contagiado de covid en julio despues de estar vacuna con dos dosis de astrazeneca tengo que ponerme la tercera dosis de la vacuna,
yo tengo de astrazeneca y no tengo previsto ponerme mas,
si despues de las dos dosis de astrazeneca me contagie de covid en julio tengo que ponerme la tercera dosis ,
yo tengo las de astrazeneca y no me apetece ponerme una primera de una vacuna distinta y que nadie se haga responsable de como me va a sentar el coctelâ€¦,
dada mi experiencia al ponerme primero astrazeneca y luego pfizer no pasa nada de nada,
yo tengo tengo dosis de astrazeneca te hace muchisimo tiempo pero a mi ni siquiera me han llamado me encantaria ponerme una tercera dosis,
malisima idea la de ponerme la astrazeneca y despues ir al gym,
a mi me aplicaron la primera dosis de astrazeneca el de octubre ya podria ponerme la segunda dosis,
mi limite son las dosis de astrazeneca no pienso en ponerme de mas,
necesito info de donde ponerme la da dosis de astrazeneca en chinchi o manizales,
buenas tardes si ya tengo la primera dosis de astrazeneca puedo ir a ponerme la segunda,
hoy ire a ponerme la segunda dosis de la astrazeneca deseenme suerte,
acabo de ponerme la tercera dosis de astrazenecame gusta,
no quiero ponerme la astrazeneca ,
me toco un taxista anti vacunas me hablo todo el viaje de como envene mi cuerpo por ponerme astrazeneca que contiene grafeno y me mostro multiples videos explicando el virus y que cuando activen el g nos vamos a morir ojala prendan la antena pronto la verdad,
donde puedo ponerme la segunda dosis de astrazeneca,
tenes toda la razon yo tuve dengue y no me podria poner astrazeneca y ponerme pfizer no me dejan por edad de las otras dos vacunas ni hablar,
buenas noches maestro cuen tengo una pregunta que hacerle si recibi las primeras vacunas pfizer puedo ponerme el refuerzo astrazeneca que es la unica que llego a manizales,
tres horas haciendo fila para ponerme la segunda dosis de astrazeneca,
tengo las dos dosis de astrazeneca y me acaban de mandar mensaje de la ciudad para ponerme pfizer como era dosis y les puse que no,
me fui a poner la dosis y me dieron a elegir entre la astrazeneca y la pfizer nunca tuve tanta responsabilidad en mis manos le dije ya fue ponerme la pfizer,
